theta,psi,K
0.92494476,-1e-05,1529207.5
0.92492723,-1.049542428652322e-05,1524582.6
0.9249093,-1.1015393095414145e-05,1519918.2
0.924891,-1.156112242192098e-05,1515220.4
0.9248723,-1.2133888504649761e-05,1510485.2
0.9248532,-1.2735030810166604e-05,1505720.4
0.9248336,-1.3365955165464406e-05,1500911.9
0.9248136,-1.4028137045619561e-05,1496074.5
0.9247933,-1.4723125024327164e-05,1491197.1
0.92477244,-1.545254439538411e-05,1486286.1
0.9247511,-1.6218100973589265e-05,1481334.8
0.92472935,-1.7021585083949465e-05,1476349.4
0.9247072,-1.786487574852046e-05,1471324.4
0.9246844,-1.8749945080674136e-05,1466262.0
0.92466116,-1.967886289706839e-05,1461164.2
0.92463744,-2.0653801558105226e-05,1456031.2
0.92461324,-2.1677041048196874e-05,1450854.1
0.9245883,-2.2750974307720624e-05,1445644.5
0.92456305,-2.3878112829131686e-05,1440393.0
0.9245372,-2.5061092530321038e-05,1435103.2
0.9245107,-2.6302679918953706e-05,1429775.5
0.92448366,-2.7605778562203335e-05,1424407.8
0.924456,-2.8973435877013094e-05,1419000.6
0.92442775,-3.0408850256762645e-05,1413556.2
0.9243989,-3.191537855100745e-05,1408069.4
0.92436934,-3.349654391578259e-05,1402545.0
0.92433923,-3.515604405282962e-05,1396978.5
0.9243084,-3.689775985701482e-05,1391371.5
0.9242769,-3.872576449216149e-05,1385727.8
0.92424476,-4.0644332916521024e-05,1380039.6
0.9242118,-4.265795188015899e-05,1374312.0
0.9241782,-4.4771330417635956e-05,1368543.0
0.9241438,-4.6989410860521224e-05,1362734.4
0.92410874,-4.9317380395493244e-05,1356879.2
0.92407274,-5.176068319505639e-05,1350988.9
0.924036,-5.432503314924292e-05,1345053.2
0.9239986,-5.701642722807431e-05,1339072.5
0.9239602,-5.9841159506031496e-05,1333055.8
0.92392105,-6.280583588133128e-05,1326992.9
0.923881,-6.591738952443159e-05,1320889.4
0.92384005,-6.918309709189306e-05,1314742.5
0.9237982,-7.261059574351485e-05,1308551.9
0.9237554,-7.620790100254052e-05,1302319.6
0.9237118,-7.99834255007021e-05,1296046.6
0.9236671,-8.394599865193896e-05,1289728.8
0.9236213,-8.810488730080056e-05,1283367.0
0.9235747,-9.246981739382136e-05,1276961.1
0.92352694,-9.705099672454799e-05,1270511.0
0.9234782,-0.00010185913880541065,1264021.1
0.9234283,-0.00010690548792226468,1257483.9
0.9233773,-0.00011220184543019515,1250901.9
0.9233252,-0.00011776059735207946,1244279.4
0.9232719,-0.00012359474334444967,1237611.9
0.9232174,-0.00012971792709839413,1230902.5
0.9231618,-0.00013614446824659343,1224145.5
0.9231049,-0.0001428893958511086,1217345.4
0.9230467,-0.00014996848355023558,1210501.2
0.9229872,-0.00015739828644662003,1203615.1
0.92292655,-0.00016519617982289946,1196682.6
0.9228643,-0.0001733803997754116,1189704.9
0.9228008,-0.00018197008586099601,1182683.2
0.9227358,-0.00019098532585662132,1175619.0
0.9226694,-0.00020044720273651348,1168508.9
0.9226015,-0.0002103778439766447,1161355.4
0.92253214,-0.00022080047330188697,1154158.8
0.92246115,-0.00023173946499684464,1146916.0
0.9223887,-0.00024322040090737812,1139631.6
0.9223144,-0.00025527013026612106,1132298.6
0.92223865,-0.0002679168324818993,1124926.8
0.92216116,-0.0002811900830398899,1117508.1
0.92208195,-0.0002951209226666342,1110048.5
0.9220009,-0.00030974192992165334,1102541.9
0.9219179,-0.0003250872973854294,1094994.1
0.9218333,-0.0003411929116219232,1087402.6
0.9217467,-0.00035809643710263037,1079765.9
0.92165816,-0.0003758374042884382,1072088.9
0.9215676,-0.00039445730207527204,1064369.8
0.921475,-0.00041399967481972367,1056606.6
0.92138034,-0.0004345102241715643,1048802.0
0.9212836,-0.0004560369159512885,1040955.9
0.92118466,-0.0004786300923226302,1033064.9
0.9210834,-0.0005023425895223784,1025137.0
0.92098,-0.0005272298614228135,1017166.1
0.9208741,-0.0005533501092157269,1009151.4
0.920766,-0.0005807644175213017,1001100.4
0.9206553,-0.0006095368972401582,993007.6
0.92054224,-0.0006397348354826364,984876.06
0.9204265,-0.0006714288529259399,976703.9
0.9203081,-0.0007046930689671337,968494.25
0.92018723,-0.0007396052750582238,960244.6
0.9200635,-0.0007762471166286769,951958.2
0.91993695,-0.0008147042840208238,943633.4
0.9198076,-0.0008550667128846666,935272.7
0.91967523,-0.0008974287945007307,926875.4
0.9195399,-0.0009418895965228226,918442.44
0.9194016,-0.000988553094656919,909974.1
0.91926,-0.0010375284158179914,901470.4
0.9191153,-0.001088930093333411,892933.75
0.91896725,-0.001142878334789748,884363.25
0.91881585,-0.0011994993031493536,875760.56
0.918661,-0.0012589254117941404,867125.0
0.91850257,-0.0013212956341865467,858459.8
0.9183406,-0.0013867558288718585,849764.7
0.918175,-0.0014554590805819342,841036.44
0.91800547,-0.001527566058238039,832282.75
0.91783214,-0.0016032453906900056,823500.75
0.9176549,-0.0016826740610704294,814689.5
0.91747355,-0.0017660378206861241,805854.1
0.91728806,-0.0018535316234147689,796996.0
0.9170983,-0.0019453600816226177,788109.7
0.9169042,-0.0020417379446694816,779201.4
0.9167056,-0.002142890601120008,770271.06
0.91650254,-0.0022490546058357274,761319.6
0.9162947,-0.00236047823318052,752349.5
0.9160822,-0.0024774220576332254,743359.6
0.9158648,-0.0026001595631652084,734353.2
0.9156424,-0.0027289777828079734,725327.8
0.9154148,-0.0028641779699065096,716289.8
0.915182,-0.0030060763026281555,707236.25
0.91494375,-0.0031550046233745467,698171.25
0.91470015,-0.0033113112148258263,689094.94
0.91445076,-0.0034753616144319686,680006.2
0.9141957,-0.0036475394692559835,670912.06
0.9139347,-0.0038282474331681263,661810.0
0.9136677,-0.004017908108489294,652702.6
0.91339445,-0.00421696503428571,643591.06
0.9131149,-0.004425883723626147,634477.75
0.9128288,-0.0046451527522273686,625361.1
0.91253614,-0.004875284901033731,616246.2
0.9122366,-0.005116818355402937,607134.94
0.9119301,-0.005370317963702379,598026.6
0.91161644,-0.005636376558259388,588923.6
0.9112955,-0.005915616341754574,579828.0
0.910967,-0.00620869034230046,570742.8
0.9106308,-0.006516283940608241,561667.06
0.91028684,-0.006839116472814097,552604.0
0.90993476,-0.00717794291271341,543555.9
0.9095745,-0.007533555637336954,534525.44
0.9092057,-0.007906786279998019,525512.2
0.90882826,-0.008298507675143979,516519.9
0.90844196,-0.008709635899560548,507549.3
0.9080466,-0.009141132414702229,498603.72
0.9076419,-0.009594006315159042,489684.56
0.90722764,-0.010069316688517736,480793.8
0.9068036,-0.010568175092136261,471933.47
0.90636957,-0.01109174815262367,463105.25
0.9059253,-0.011641260294104552,454312.16
0.9054705,-0.012217996601648335,445555.56
0.9050049,-0.012823305826559812,436838.12
0.90452826,-0.013458603540559057,428162.22
0.90404034,-0.014125375446227093,419530.22
0.9035408,-0.01482518085145906,410943.25
0.9030294,-0.015559656316050241,402404.22
0.90250576,-0.01633051947894281,393914.16
0.9019697,-0.01713957307508369,385477.1
0.90142083,-0.017988709151287287,377094.8
0.9008589,-0.018879913490962307,368768.9
0.90028346,-0.01981527025805032,360501.3
0.8996943,-0.020796966871036257,352295.1
0.89909106,-0.021827299118429278,344152.88
0.89847326,-0.02290867652767695,336076.1
0.8978408,-0.024043628000068512,328066.2
0.8971931,-0.025234807724804877,320127.78
0.8965297,-0.02648500138606609,312261.16
0.8958505,-0.02779713267759192,304468.16
0.89515483,-0.029174270140010644,296752.47
0.8944423,-0.03061963433690569,289115.12
0.8937129,-0.032136605386402034,281558.56
0.8929656,-0.03372873086588568,274085.0
0.89220035,-0.0353997341083422,266696.6
0.89141655,-0.03715352290971591,259395.03
0.8906138,-0.03899419866765293,252182.23
0.8897916,-0.04092606597299959,245061.06
0.8889495,-0.042953642676487144,238031.98
0.8880869,-0.045081670454144344,231097.83
0.8872035,-0.04731512589614629,224260.23
0.88629854,-0.04965923214503175,217520.56
0.88537157,-0.052119471110506084,210880.83
0.88442206,-0.05470159628939509,204342.62
0.8834495,-0.05741164622073057,197908.0
0.8824532,-0.06025595860743347,191577.7
0.88143265,-0.0632411851376195,185353.33
0.88038725,-0.06637430704018832,179236.48
0.87931633,-0.06966265141107417,173228.28
0.87821925,-0.07311390834833888,167330.03
0.8770955,-0.07673614893617887,161542.75
0.87594426,-0.08053784411990347,155867.77
0.87476504,-0.08452788451602562,150305.83
0.873557,-0.08871560120379254,144857.64
0.87231934,-0.09311078754677929,139524.42
0.87105167,-0.09772372209557711,134306.45
0.86975294,-0.1025651926251366,129204.5
0.8684225,-0.10764652136297909,124219.086
0.8670597,-0.11297959146727514,119350.56
0.86566365,-0.11857687481671111,114599.16
0.86423355,-0.12445146117713335,109965.25
0.8627686,-0.1306170888131787,105448.71
0.86126804,-0.13708817661647962,101049.52
0.859731,-0.1438798578255785,96767.945
0.8581565,-0.15100801541640843,92603.555
0.85654384,-0.1584893192461046,88555.53
0.854892,-0.16634126503700983,84624.07
0.8532002,-0.17458221529204287,80808.24
0.8514675,-0.18323144223711324,77107.836
0.8496928,-0.1923091728910075,73521.61
0.8478754,-0.2018366363681473,70049.05
0.8460142,-0.2118361135248409,66689.03
0.8441083,-0.22233098906513052,63440.42
0.84215665,-0.23334580622808995,60302.203
0.8401583,-0.24490632418446365,57273.055
0.83811224,-0.2570395782768749,54351.67
0.8360174,-0.2697739432444799,51536.58
0.83387285,-0.2831391995799251,48826.344
0.83167744,-0.2971666031737892,46219.168
0.8294302,-0.3118889584093795,43713.42
0.8271302,-0.3273406948788232,41307.383
0.8247762,-0.34355794789985883,38999.246
0.8223672,-0.3605786430216258,36786.984
0.8199022,-0.37844258471707576,34668.594
0.81737995,-0.3971915494694218,32642.133
0.81479967,-0.4168693834703159,30705.414
0.81216,-0.4375221051582315,28856.35
0.80946016,-0.4591980128368469,27092.576
0.806699,-0.4819477976251045,25412.072
0.80387545,-0.50582466200309,23812.45
0.80098844,-0.5308844442309629,22291.42
0.79803705,-0.5571857489319031,20846.562
0.7950202,-0.5847900841444525,19475.604
0.79193693,-0.6137620051647644,18176.16
0.78878623,-0.6441692655151459,16945.842
0.7855673,-0.6760829753919487,15782.25
0.782279,-0.7095777679633539,14682.994
0.77892065,-0.7447319739059522,13645.691
0.77549124,-0.781627804588291,12667.989
0.77198994,-0.8203515443297774,11747.537
0.76841605,-0.8609937521845576,10881.951
0.76476884,-0.9036494737222561,10068.979
0.76104754,-0.9484184633008493,9306.281
0.7572515,-0.9954054173514766,8591.658
0.7533802,-1.044720219220747,7922.868
0.7494329,-1.0964781961431291,7297.754
0.7454094,-1.1508003889443768,6714.2085
0.7413091,-1.207813835106718,6170.1006
0.7371317,-1.26765186585778,5663.455
0.73287696,-1.330454417978022,5192.2637
0.7285446,-1.3963683610558648,4754.6255
0.72413456,-1.465547840955835,4348.6665
0.7196467,-1.538154640302954,3972.5923
0.7150813,-1.6143585568264012,3624.656
0.71043825,-1.6943378004472387,3303.1775
0.7057179,-1.7782794100388282,3006.5422
0.7009207,-1.8663796908345702,2733.1953
0.69604695,-1.9588446735058849,2481.6536
0.69109726,-2.0558905959840312,2250.4788
0.68607235,-2.1577444091525497,2038.3218
0.6809729,-2.264644307592937,1843.8734
0.6757998,-2.376840286624747,1665.9065
0.67055416,-2.494594726942818,1503.2452
0.66523707,-2.6181830082188418,1354.7819
0.65984976,-2.7478941531022456,1219.4601
0.6543937,-2.8840315031264465,1096.2881
0.6488702,-3.0269134281011376,984.3318
0.64328116,-3.1768740706495935,882.7108
0.63762814,-3.334264127632163,790.5987
0.63191307,-3.4994516702833764,707.223
0.62613803,-3.6728230049806396,631.8592
0.62030506,-3.8547835766575,563.8315
0.61441654,-4.045758916974197,502.51184
0.60847473,-4.246195639462886,447.3141
0.6024822,-4.4565624839747775,397.69672
0.59644157,-4.6773514128717135,353.15656
0.5903555,-4.909078761525748,313.22852
0.5842269,-5.152286445817267,277.48456
0.5780587,-5.407543229455494,245.529
0.57185394,-5.675446054085141,216.99974
0.5656157,-5.956621435289756,191.56279
0.5593473,-6.251726927756491,168.91362
0.5530519,-6.561452663028668,148.77345
0.54673296,-6.886522963442354,130.88756
0.54039395,-7.227698036021274,115.024574
0.5340382,-7.585775750291386,100.97379
0.5276694,-7.961593504172711,88.544
0.5212912,-8.35603018231198,77.562035
0.51490706,-8.770008211435819,67.8714
0.5085207,-9.204495717531158,59.330795
0.5021357,-9.660508789897548,51.812817
0.49575582,-10.139113857366178,45.202934
0.48938462,-10.64143018224251,39.398315
0.48302582,-11.168632477804927,34.30672
0.47668302,-11.721953655480585,29.845713
0.47035977,-12.302687708123056,25.94151
0.46405968,-12.912192736134543,22.528376
0.4577862,-13.551894123509518,19.547716
0.45154276,-14.223287871227312,16.947489
0.4453328,-14.927944095789028,14.681438
0.4391595,-15.667510701080507,12.708601
0.43302625,-16.44371723214828,10.992717
0.42693603,-17.258378919900945,9.501717
0.42089197,-18.113400926194878,8.2073345
0.41489694,-19.01078279923179,7.084631
0.40895382,-19.952623149687522,6.1116877
0.4030652,-20.941124558507585,5.2692223
0.39723384,-21.978598727846837,4.5403275
0.39146215,-23.067471887199204,3.9101841
0.38575244,-24.210290467360217,3.3658147
0.38010696,-25.409727055491402,2.8958812
0.37452775,-26.66858664521306,2.4904764
0.3690169,-27.9898131963418,2.1409726
0.36357605,-29.376496519613383,1.8398417
0.358207,-30.831879502491518,1.5805414
0.35291132,-32.359365692960694,1.357384
0.34769034,-33.962527259038595,1.1654285
0.3425454,-35.64511334262206,1.000392
0.33747768,-37.411058827202844,0.8585633
0.33248815,-39.264493539957364,0.7367279
0.3275777,-41.20975190973026,0.6321062
0.3227471,-43.251383103497965,0.54229695
0.31799704,-45.39416166501726,0.4652263
0.3133279,-47.64309868053835,0.3991048
0.30874023,-50.00345349769446,0.34239036
0.30423427,-52.48074602497369,0.29375362
0.29981017,-55.08076964053658,0.25205114
0.29546797,-57.80960474056785,0.21629803
0.29120773,-60.67363295884637,0.18564893
0.28702927,-63.67955209078719,0.15937606
0.28293234,-66.83439175685685,0.13685489
0.27891666,-70.14552984199226,0.11754918
0.27498192,-73.62070974946849,0.10099909
0.27112746,-77.26805850956484,0.08680986
0.26735282,-81.0961057853784,0.07464301
0.2636574,-85.11380382023167,0.06420875
0.26004055,-89.33054837332324,0.055258483
0.2565015,-93.7562006925814,0.047579255
0.25303942,-98.4011105761064,0.04098896
0.2496534,-103.2761405761324,0.03533136
0.24634263,-108.39269140211263,0.030472843
0.24310616,-113.76272858233496,0.02629895
0.23994297,-119.39881044641876,0.022711823
0.23685208,-125.31411749413259,0.0196276
0.23383236,-131.52248321921437,0.016974533
0.23088282,-138.03842646027852,0.014691193
0.22800237,-144.87718535446564,0.012725024
0.22518975,-152.0547529732385,0.011031016
0.22244385,-159.5879147236616,0.009570619
0.2197637,-167.4942876026315,0.008310845
0.21714795,-175.79236139585637,0.007223421
0.21459538,-184.5015419179338,0.0062841238
0.21210492,-193.64219639464642,0.005472213
0.20967534,-203.23570109360713,0.0047698957
0.20730546,-213.3044913146418,0.004161913
0.20499405,-223.8721138568173,0.0036351685
0.20273995,-234.9632820848132,0.0031784584
0.20054194,-246.60393372341545,0.0027821267
0.19839883,-258.8212915152897,0.0024378963
0.19630948,-271.6439268838878,0.002138659
0.19427273,-285.1018267503694,0.0018782947
0.19228739,-299.22646366079624,0.001651545
0.19035232,-314.0508693875979,0.001453885
0.18846634,-329.60971217743264,0.0012814159
0.1866284,-345.93937782609555,0.0011307783
0.18483734,-363.07805477007355,0.0009990749
0.18309212,-381.0658233937438,0.00088381197
0.1813916,-399.9447497610667,0.00078283186
0.17973477,-419.75898399097514,0.0006942702
0.1781205,-440.5548635065192,0.0006165179
0.17654783,-462.3810213992244,0.00054818235
0.17501578,-485.28850016208327,0.00048805733
0.17352325,-509.33087105715566,0.0004350972
0.17206937,-534.5643593969298,0.00038839673
0.1706531,-561.0479760324265,0.0003471697
0.16927356,-588.8436553555426,0.0003107331
0.1679298,-618.0164001383671,0.00027849257
0.16662091,-648.6344335481871,0.00024993357
0.16534606,-680.7693586936874,0.00022460528
0.16410428,-714.4963260754565,0.0002021167
0.16289482,-749.894209332396,0.0001821254
0.16171682,-787.0457896950358,0.00016433367
0.16056946,-826.0379495771125,0.00014848051
0.15945196,-866.9618757581469,0.00013433825
0.15836355,-909.9132726321782,0.00012170723
0.15730348,-954.9925860213588,0.00011041209
0.15627098,-1002.3052380778205,0.00010030027
0.15526536,-1051.9618738231375,9.123634e-05
0.15428588,-1104.078619901981,8.310269e-05
0.1533319,-1158.7773561550314,7.579478e-05
0.15240276,-1216.186000646271,6.9221074e-05
0.15149775,-1276.4388088112391,6.33009e-05
0.15061629,-1339.6766874258221,5.7962934e-05
0.14975768,-1406.047524129798,5.3144144e-05
0.14892143,-1475.7065332757754,4.878907e-05
0.14810681,-1548.8166189123529,4.48485e-05
0.14731336,-1625.5487557503454,4.1278683e-05
0.14654046,-1706.0823890029812,3.8041235e-05
0.14578766,-1790.6058540351482,3.5101657e-05
0.14505434,-1879.316816803111,3.2429565e-05
0.14433995,-1972.422736114684,2.9997764e-05
0.14364406,-2070.1413487908676,2.7782238e-05
0.14296612,-2172.7011788635655,2.5761501e-05
0.1423057,-2280.342072000225,2.3916256e-05
0.14166236,-2393.3157564051794,2.2229562e-05
