theta,psi,K
0.98478055,-1e-05,115999.68
0.98467076,-1.049542428652322e-05,115718.8
0.98455954,-1.1015393095414145e-05,115435.86
0.98444676,-1.156112242192098e-05,115150.53
0.9843324,-1.2133888504649761e-05,114862.516
0.98421645,-1.2735030810166604e-05,114572.71
0.9840989,-1.3365955165464406e-05,114280.37
0.9839797,-1.4028137045619561e-05,113985.72
0.9838588,-1.4723125024327164e-05,113688.586
0.98373634,-1.545254439538411e-05,113388.87
0.98361206,-1.6218100973589265e-05,113086.81
0.98348606,-1.7021585083949465e-05,112782.12
0.98335826,-1.786487574852046e-05,112475.46
0.9832287,-1.8749945080674136e-05,112166.0
0.9830972,-1.967886289706839e-05,111854.08
0.9829639,-2.0653801558105226e-05,111539.625
0.98282874,-2.1677041048196874e-05,111222.555
0.9826915,-2.2750974307720624e-05,110903.11
0.98255247,-2.3878112829131686e-05,110580.89
0.9824114,-2.5061092530321038e-05,110256.234
0.9822682,-2.6302679918953706e-05,109928.875
0.982123,-2.7605778562203335e-05,109598.82
0.9819757,-2.8973435877013094e-05,109266.0
0.9818263,-3.0408850256762645e-05,108930.88
0.9816746,-3.191537855100745e-05,108592.64
0.9815208,-3.349654391578259e-05,108251.94
0.9813647,-3.515604405282962e-05,107908.39
0.9812064,-3.689775985701482e-05,107562.24
0.9810457,-3.872576449216149e-05,107213.23
0.98088264,-4.0644332916521024e-05,106861.35
0.9807172,-4.265795188015899e-05,106506.69
0.98054934,-4.4771330417635956e-05,106149.04
0.98037887,-4.6989410860521224e-05,105788.76
0.98020595,-4.9317380395493244e-05,105425.69
0.9800304,-5.176068319505639e-05,105059.34
0.9798523,-5.432503314924292e-05,104690.484
0.9796715,-5.701642722807431e-05,104318.44
0.979488,-5.9841159506031496e-05,103943.46
0.9793017,-6.280583588133128e-05,103565.77
0.9791126,-6.591738952443159e-05,103184.84
0.9789207,-6.918309709189306e-05,102800.984
0.9787258,-7.261059574351485e-05,102414.07
0.9785279,-7.620790100254052e-05,102023.945
0.97832716,-7.99834255007021e-05,101631.13
0.9781232,-8.394599865193896e-05,101235.0
0.9779161,-8.810488730080056e-05,100835.71
0.9777059,-9.246981739382136e-05,100433.4
0.97749245,-9.705099672454799e-05,100028.11
0.9772757,-0.00010185913880541065,99619.51
0.9770556,-0.00010690548792226468,99207.57
0.9768321,-0.00011220184543019515,98792.71
0.9766052,-0.00011776059735207946,98374.53
0.9763746,-0.00012359474334444967,97953.07
0.9761405,-0.00012971792709839413,97528.49
0.9759027,-0.00013614446824659343,97100.56
0.97566116,-0.0001428893958511086,96669.44
0.9754159,-0.00014996848355023558,96234.91
0.9751667,-0.00015739828644662003,95797.39
0.9749136,-0.00016519617982289946,95356.32
0.97465646,-0.0001733803997754116,94911.85
0.9743953,-0.00018197008586099601,94464.234
0.97413,-0.00019098532585662132,94012.98
0.9738604,-0.00020044720273651348,93558.53
0.9735865,-0.0002103778439766447,93100.766
0.9733082,-0.00022080047330188697,92639.59
0.97302544,-0.00023173946499684464,92174.99
0.9727382,-0.00024322040090737812,91706.945
0.9724463,-0.00025527013026612106,91235.54
0.9721497,-0.0002679168324818993,90760.58
0.97184825,-0.0002811900830398899,90282.234
0.971542,-0.0002951209226666342,89800.25
0.9712307,-0.00030974192992165334,89315.125
0.97091436,-0.0003250872973854294,88826.19
0.97059286,-0.0003411929116219232,88334.04
0.970266,-0.00035809643710263037,87838.31
0.96993387,-0.0003758374042884382,87339.055
0.96959627,-0.00039445730207527204,86836.25
