run,randam_number,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta,MSE_psi,MSE_K,MSE_flux
sandy_loam_depth_1_noise_0.005_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_111,111,1,0.005,6,40,3,40,2,20,0.000213666,75631.13708,11.10166536,10.71254258
sandy_loam_depth_1_noise_0.005_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_222,222,1,0.005,6,40,3,40,2,20,5.8499E-05,75630.66648,33.16286532,30.06555639
sandy_loam_depth_1_noise_0.005_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_333,333,1,0.005,6,40,3,40,2,20,0.000200554,75631.12611,20.57728401,19.19106206
sandy_loam_depth_1_noise_0.005_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_444,444,1,0.005,6,40,3,40,2,20,2.1723E-06,166196.7384,0.024793139,0.04145014
sandy_loam_depth_1_noise_0.005_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_555,555,1,0.005,6,40,3,40,2,20,8.73383E-06,33964.73184,0.830378441,0.692870247
sandy_loam_depth_1_noise_0.01_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_111,111,1,0.01,6,40,3,40,2,20,0.000271909,75631.17987,33.99729403,31.47152789
sandy_loam_depth_1_noise_0.01_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_222,222,1,0.01,6,40,3,40,2,20,0.000157056,75631.19949,22.15324574,20.37742995
sandy_loam_depth_1_noise_0.01_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_333,333,1,0.01,6,40,3,40,2,20,0.00013659,75631.00443,23.08577394,21.0170181
sandy_loam_depth_1_noise_0.01_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_444,444,1,0.01,6,40,3,40,2,20,4.31286E-06,782473.3454,0.068521434,0.073988708
sandy_loam_depth_1_noise_0.01_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_555,555,1,0.01,6,40,3,40,2,20,4.19312E-06,1142857.628,0.082184226,0.08170051
sandy_loam_depth_1_noise_0.02_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_111,111,1,0.02,6,40,3,40,2,20,0.000123055,75630.58245,28.99597351,26.91051954
sandy_loam_depth_1_noise_0.02_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_222,222,1,0.02,6,40,3,40,2,20,0.000122876,75628.69302,14.61593995,13.30600039
sandy_loam_depth_1_noise_0.02_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_333,333,1,0.02,6,40,3,40,2,20,0.000129248,75631.08604,18.14490121,16.60474462
sandy_loam_depth_1_noise_0.02_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_444,444,1,0.02,6,40,3,40,2,20,1.70807E-05,136887.8075,0.189889439,0.218634796
sandy_loam_depth_1_noise_0.02_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_555,555,1,0.02,6,40,3,40,2,20,2.09388E-05,38845.31777,1.553086955,1.422115447
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_111,111,1,0,6,40,3,40,2,20,1.25647E-06,4116708.16,0.004756042,0.025951677
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_222,222,1,0,6,40,3,40,2,20,1.50081E-06,830136.1922,0.009369414,0.02989739
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_333,333,1,0,6,40,3,40,2,20,2.38944E-06,3944827.102,0.040545989,0.059515768
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_444,444,1,0,6,40,3,40,2,20,1.96609E-06,1327542.279,0.015458213,0.046139213
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20_random_555,555,1,0,6,40,3,40,2,20,1.9777E-06,883067.2923,0.040943159,0.053989627
