run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_1_neu_K_10,1,0,6,40,1,10,1,10,0.000236852,1.65511E-06,0.001359752,75631.20967,19766.82669,75627.73646,42.58316833,0.008629728,177734.9119,39.6089606,0.044138669,177454.0842
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_1_neu_K_20,1,0,6,40,1,10,1,20,0.00010343,1.71279E-06,0.00020941,75631.24561,3341078.689,75631.19221,14.46465281,0.015233006,30.27777163,14.36363326,0.0345727,27.91144758
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_1_neu_K_40,1,0,6,40,1,10,1,40,0.000124545,1.69225E-06,0.000103849,75631.16273,55943834.91,75631.23259,186.4914132,0.014010127,17.92169541,178.1169273,0.037957724,16.74519157
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_2_neu_K_10,1,0,6,40,1,10,2,10,0.000151061,1.77945E-06,1.84422E-06,75631.25131,33501.15417,24540.82867,29.45335288,0.008422763,0.014351021,27.85957446,0.035653751,0.037038541
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_2_neu_K_20,1,0,6,40,1,10,2,20,0.000240967,2.3313E-06,0.000114432,75631.20902,891.9510061,75631.09291,13.21213134,0.017388476,27.11740068,12.48008347,0.041863509,24.82428062
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_2_neu_K_40,1,0,6,40,1,10,2,40,0.000103341,2.21605E-06,0.000223468,75631.20173,168543.2082,75631.10853,34.5620919,0.018337651,25.56927823,31.61149061,0.050551349,23.45299136
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_3_neu_K_10,1,0,6,40,1,10,3,10,0.000167852,2.71574E-06,0.000201482,75631.17196,27859.30258,75631.24581,36.40277063,0.011800989,46.39550623,33.8356502,0.037794422,43.38921634
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_3_neu_K_20,1,0,6,40,1,10,3,20,0.000319987,2.1149E-06,0.000252614,75631.23502,10879.78435,75631.22979,41.4927606,0.014302489,70.55415702,38.89954052,0.039828684,65.57202539
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_3_neu_K_40,1,0,6,40,1,10,3,40,0.000329293,1.78584E-06,0.000430571,75631.24807,1027035.575,75631.24756,29.77546442,0.01014873,29.34559592,27.82608911,0.036529177,27.80809632
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_10,1,0,6,40,1,20,1,10,1.75392E-06,2.02747E-06,8.44072E-06,22584827.44,8253469.053,2502579.635,0.015320875,0.012311034,0.263420602,0.035289133,0.036445305,0.186962833
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,6,40,1,20,1,20,2.14707E-06,1.81231E-06,0.00019383,219897890.9,26480351.41,75631.24321,0.041216778,0.013363477,128.6387178,0.053625887,0.035991803,121.6132392
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_40,1,0,6,40,1,20,1,40,0.000310709,1.63273E-06,4.89279E-05,1029609042,38741677.76,75631.19448,2340.976706,0.018721767,49.74728609,2644.501697,0.036115937,46.01878379
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_2_neu_K_10,1,0,6,40,1,20,2,10,4.75689E-06,7.15998E-06,5.66333E-05,41978.38983,80672.52862,75631.2426,0.02872279,0.41933284,8.436809353,0.109204511,0.325791654,8.717577378
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_2_neu_K_20,1,0,6,40,1,20,2,20,1.86314E-06,2.09398E-06,7.24144E-05,1746689.843,2457629.105,75631.18309,0.013848755,0.024063917,20.79863712,0.040144069,0.05748978,18.89863722
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_2_neu_K_40,1,0,6,40,1,20,2,40,1.73357E-06,1.603E-06,0.000178816,53828536.86,7131904.943,75631.14784,0.014423012,0.007695836,18.9278381,0.038295951,0.030505916,17.3806389
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_3_neu_K_10,1,0,6,40,1,20,3,10,2.75543E-06,1.93541E-06,8.3656E-05,438131.7195,105096.7528,75631.16126,0.065771298,0.015596334,17.47964331,0.075702596,0.041388329,15.95340879
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_3_neu_K_20,1,0,6,40,1,20,3,20,1.67431E-06,2.15163E-06,0.000244496,1421504.165,34082.0794,75631.24909,0.016589987,0.02282,37.58782741,0.039862657,0.036322919,35.22055697
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_3_neu_K_40,1,0,6,40,1,20,3,40,1.72213E-06,2.54426E-06,0.00021445,1867215.606,1216208.045,75631.20458,0.016210843,0.015916682,20.21856376,0.03998691,0.05208563,18.86053704
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_10,1,0,6,40,1,40,1,10,1.7167E-06,1.50011E-06,9.83133E-05,6773116.781,533820.0037,75631.23494,0.018968574,0.008422115,12.73744118,0.03806994,0.032246882,12.32564552
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_20,1,0,6,40,1,40,1,20,1.67295E-06,1.88488E-06,0.000136873,20736226.7,6984.582106,75630.96977,0.020655377,0.01702658,24.69072522,0.042542742,0.046356921,22.38078234
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_40,1,0,6,40,1,40,1,40,1.49737E-06,1.96256E-06,0.00020911,122359309,19941.82538,75631.15963,0.016824013,0.019549234,99.30983993,0.040328446,0.061398109,93.72879001
