run,randam_number,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta,MSE_psi,MSE_K,MSE_flux
sandy_loam_depth_1_noise_0.005_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_111,111,1,0.005,8,40,1,40,3,40,3.46029E-06,29515.08692,0.01823034,0.056043651
sandy_loam_depth_1_noise_0.005_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_222,222,1,0.005,8,40,1,40,3,40,2.36361E-06,35943.17406,0.011708843,0.034215926
sandy_loam_depth_1_noise_0.005_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_444,444,1,0.005,8,40,1,40,3,40,2.54718E-06,33780.51939,0.011565487,0.034999801
sandy_loam_depth_1_noise_0.005_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_555,555,1,0.005,8,40,1,40,3,40,2.58254E-06,31856.11461,0.012640303,0.041881712
sandy_loam_depth_1_noise_0.005_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_777,777,1,0.005,8,40,1,40,3,40,1.03161E-05,28018.05864,0.27607689,0.196611263
sandy_loam_depth_1_noise_0.01_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_111,111,1,0.01,8,40,1,40,3,40,4.81779E-06,24013.99665,0.034273692,0.06262633
sandy_loam_depth_1_noise_0.01_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_222,222,1,0.01,8,40,1,40,3,40,4.42104E-06,41517.83606,0.025752523,0.078767639
sandy_loam_depth_1_noise_0.01_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_444,444,1,0.01,8,40,1,40,3,40,1.03657E-05,39998.31674,0.291131142,0.217941651
sandy_loam_depth_1_noise_0.01_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_555,555,1,0.01,8,40,1,40,3,40,4.45303E-06,28789.91505,0.02877169,0.063954766
sandy_loam_depth_1_noise_0.01_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_777,777,1,0.01,8,40,1,40,3,40,3.68774E-06,29479.64871,0.02323965,0.051677657
sandy_loam_depth_1_noise_0.02_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_111,111,1,0.02,8,40,1,40,3,40,1.29275E-05,29399.32342,0.058108071,0.099061259
sandy_loam_depth_1_noise_0.02_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_222,222,1,0.02,8,40,1,40,3,40,9.39311E-06,40419.38127,0.040309122,0.094390662
sandy_loam_depth_1_noise_0.02_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_444,444,1,0.02,8,40,1,40,3,40,1.28422E-05,36771.67808,0.081719818,0.124434196
sandy_loam_depth_1_noise_0.02_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_555,555,1,0.02,8,40,1,40,3,40,1.11498E-05,25305.86733,0.092799466,0.124897648
sandy_loam_depth_1_noise_0.02_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_777,777,1,0.02,8,40,1,40,3,40,1.48766E-05,29625.29484,0.072851281,0.301642623
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_111,111,1,0,8,40,1,40,3,40,1.92467E-06,30778.77229,0.009818555,0.033217792
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_222,222,1,0,8,40,1,40,3,40,1.65531E-06,34060.04176,0.004180562,0.025150487
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_444,444,1,0,8,40,1,40,3,40,2.13204E-06,23612.34773,0.010390835,0.032881568
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_555,555,1,0,8,40,1,40,3,40,2.15491E-06,12425.63002,0.01285452,0.041479734
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_3_neu_K_40_random_777,777,1,0,8,40,1,40,3,40,2.21516E-06,38154.24115,0.006897789,0.03304854
