theta,psi,K
0.99052763,-1e-05,11942.781
0.9904357,-1.049542428652322e-05,11924.14
0.9903425,-1.1015393095414145e-05,11905.333
0.9902478,-1.156112242192098e-05,11886.32
0.9901518,-1.2133888504649761e-05,11867.133
0.9900543,-1.2735030810166604e-05,11847.74
0.9899554,-1.3365955165464406e-05,11828.175
0.98985493,-1.4028137045619561e-05,11808.406
0.989753,-1.4723125024327164e-05,11788.445
0.98964953,-1.545254439538411e-05,11768.282
0.9895445,-1.6218100973589265e-05,11747.919
0.9894379,-1.7021585083949465e-05,11727.367
0.98932964,-1.786487574852046e-05,11706.6045
0.9892197,-1.8749945080674136e-05,11685.612
0.9891082,-1.967886289706839e-05,11664.436
0.98899496,-2.0653801558105226e-05,11643.063
0.98887986,-2.1677041048196874e-05,11621.442
0.9887631,-2.2750974307720624e-05,11599.651
0.9886445,-2.3878112829131686e-05,11577.604
0.9885241,-2.5061092530321038e-05,11555.344
0.9884018,-2.6302679918953706e-05,11532.8955
0.98827755,-2.7605778562203335e-05,11510.184
0.98815143,-2.8973435877013094e-05,11487.254
0.98802334,-3.0408850256762645e-05,11464.129
0.9878932,-3.191537855100745e-05,11440.734
0.987761,-3.349654391578259e-05,11417.136
0.9876268,-3.515604405282962e-05,11393.283
0.9874904,-3.689775985701482e-05,11369.198
0.9873519,-3.872576449216149e-05,11344.872
0.9872111,-4.0644332916521024e-05,11320.307
0.9870682,-4.265795188015899e-05,11295.492
0.98692286,-4.4771330417635956e-05,11270.443
0.9867753,-4.6989410860521224e-05,11245.137
0.9866253,-4.9317380395493244e-05,11219.578
0.9864729,-5.176068319505639e-05,11193.758
0.9863181,-5.432503314924292e-05,11167.698
0.98616076,-5.701642722807431e-05,11141.358
0.9860008,-5.9841159506031496e-05,11114.773
0.9858383,-6.280583588133128e-05,11087.904
0.98567307,-6.591738952443159e-05,11060.804
0.9855052,-6.918309709189306e-05,11033.412
0.9853345,-7.261059574351485e-05,11005.741
0.98516107,-7.620790100254052e-05,10977.796
0.98498476,-7.99834255007021e-05,10949.575
0.9848056,-8.394599865193896e-05,10921.083
0.9846233,-8.810488730080056e-05,10892.303
0.98443806,-9.246981739382136e-05,10863.225
0.9842497,-9.705099672454799e-05,10833.873
0.98405826,-0.00010185913880541065,10804.221
0.9838636,-0.00010690548792226468,10774.277
0.9836656,-0.00011220184543019515,10744.039
0.9834643,-0.00011776059735207946,10713.508
0.98325956,-0.00012359474334444967,10682.666
0.98305136,-0.00012971792709839413,10651.517
0.9828396,-0.00013614446824659343,10620.0625
0.9826243,-0.0001428893958511086,10588.309
0.98240536,-0.00014996848355023558,10556.216
0.9821826,-0.00015739828644662003,10523.829
0.9819559,-0.00016519617982289946,10491.111
0.98172545,-0.0001733803997754116,10458.076
0.98149097,-0.00018197008586099601,10424.719
0.98125243,-0.00019098532585662132,10391.0205
0.98100966,-0.00020044720273651348,10357.007
0.9807628,-0.0002103778439766447,10322.651
0.98051155,-0.00022080047330188697,10287.96
0.98025596,-0.00023173946499684464,10252.934
0.97999585,-0.00024322040090737812,10217.56
0.9797312,-0.00025527013026612106,10181.841
0.97946185,-0.0002679168324818993,10145.774
0.9791877,-0.0002811900830398899,10109.353
0.9789087,-0.0002951209226666342,10072.591
0.9786248,-0.00030974192992165334,10035.474
0.97833586,-0.0003250872973854294,9997.989
0.97804165,-0.0003411929116219232,9960.132
0.9777423,-0.00035809643710263037,9921.925
0.9774375,-0.0003758374042884382,9883.338
0.9771272,-0.00039445730207527204,9844.394
0.9768113,-0.00041399967481972367,9805.06
0.97648966,-0.0004345102241715643,9765.371
0.9761623,-0.0004560369159512885,9725.277
0.9758289,-0.0004786300923226302,9684.821
0.97548944,-0.0005023425895223784,9643.965
0.9751438,-0.0005272298614228135,9602.738
0.97479177,-0.0005533501092157269,9561.106
0.9744333,-0.0005807644175213017,9519.091
0.9740683,-0.0006095368972401582,9476.691
0.9736964,-0.0006397348354826364,9433.868
0.97331774,-0.0006714288529259399,9390.657
0.97293204,-0.0007046930689671337,9347.045
0.9725392,-0.0007396052750582238,9303.025
0.9721389,-0.0007762471166286769,9258.602
0.9717312,-0.0008147042840208238,9213.769
0.9713159,-0.0008550667128846666,9168.495
0.9708927,-0.0008974287945007307,9122.854
0.9704617,-0.0009418895965228226,9076.771
0.9700225,-0.000988553094656919,9030.269
0.9695749,-0.0010375284158179914,8983.353
0.9691189,-0.001088930093333411,8935.999
0.9686543,-0.001142878334789748,8888.241
0.9681807,-0.0011994993031493536,8840.048
0.96769816,-0.0012589254117941404,8791.411
0.9672063,-0.0013212956341865467,8742.359
0.96670514,-0.0013867558288718585,8692.876
0.96619433,-0.0014554590805819342,8642.947
0.9656736,-0.001527566058238039,8592.593
0.96514285,-0.0016032453906900056,8541.798
0.9646018,-0.0016826740610704294,8490.582
0.9640503,-0.0017660378206861241,8438.91
0.96348804,-0.0018535316234147689,8386.792
0.9629148,-0.0019453600816226177,8334.24
0.9623306,-0.0020417379446694816,8281.244
0.9617348,-0.002142890601120008,8227.817
0.9611273,-0.0022490546058357274,8173.938
0.96050787,-0.00236047823318052,8119.6143
0.9598763,-0.0024774220576332254,8064.852
0.9592322,-0.0026001595631652084,8009.642
0.9585755,-0.0027289777828079734,7953.9985
0.95790577,-0.0028641779699065096,7897.8975
0.9572227,-0.0030060763026281555,7841.3623
0.95652604,-0.0031550046233745467,7784.3774
0.95581555,-0.0033113112148258263,7726.9526
0.9550909,-0.0034753616144319686,7669.08
0.9543517,-0.0036475394692559835,7610.771
0.9535977,-0.0038282474331681263,7552.0186
0.95282865,-0.004017908108489294,7492.848
0.9520441,-0.00421696503428571,7433.2197
0.9512438,-0.004425883723626147,7373.166
0.95042735,-0.0046451527522273686,7312.677
0.9495945,-0.004875284901033731,7251.763
0.94874465,-0.005116818355402937,7190.411
0.9478776,-0.005370317963702379,7128.6533
0.946993,-0.005636376558259388,7066.4487
0.94609034,-0.005915616341754574,7003.839
0.94516945,-0.00620869034230046,6940.8105
0.94422966,-0.006516283940608241,6877.3784
0.94327074,-0.006839116472814097,6813.5312
0.9422922,-0.00717794291271341,6749.267
0.9412937,-0.007533555637336954,6684.6206
0.9402747,-0.007906786279998019,6619.5767
0.93923473,-0.008298507675143979,6554.147
0.93817353,-0.008709635899560548,6488.3306
0.9370904,-0.009141132414702229,6422.121
0.93598497,-0.009594006315159042,6355.5693
0.9348569,-0.010069316688517736,6288.6274
0.93370545,-0.010568175092136261,6221.3286
0.9325302,-0.01109174815262367,6153.694
0.93133074,-0.011641260294104552,6085.691
0.9301065,-0.012217996601648335,6017.372
0.92885685,-0.012823305826559812,5948.7144
0.9275814,-0.013458603540559057,5879.735
0.9262795,-0.014125375446227093,5810.4414
0.92495054,-0.01482518085145906,5740.8477
0.9235941,-0.015559656316050241,5670.957
0.9222095,-0.01633051947894281,5600.7847
0.9207963,-0.01713957307508369,5530.336
0.9193536,-0.017988709151287287,5459.6226
0.917881,-0.018879913490962307,5388.6523
0.91637784,-0.01981527025805032,5317.4473
0.91484344,-0.020796966871036257,5246.018
0.91327715,-0.021827299118429278,5174.3545
0.9116785,-0.02290867652767695,5102.4863
0.9100466,-0.024043628000068512,5030.4316
0.90838087,-0.025234807724804877,4958.1885
0.90668046,-0.02648500138606609,4885.776
0.904945,-0.02779713267759192,4813.214
0.9031737,-0.029174270140010644,4740.5083
0.9013656,-0.03061963433690569,4667.681
0.89952016,-0.032136605386402034,4594.737
0.89763653,-0.03372873086588568,4521.7036
0.89571416,-0.0353997341083422,4448.575
0.8937522,-0.03715352290971591,4375.394
0.8917498,-0.03899419866765293,4302.157
0.8897063,-0.04092606597299959,4228.8916
0.887621,-0.042953642676487144,4155.601
0.8854929,-0.045081670454144344,4082.3157
0.8833214,-0.04731512589614629,4009.0493
0.8811055,-0.04965923214503175,3935.8103
0.8788446,-0.052119471110506084,3862.6233
0.87653786,-0.05470159628939509,3789.5068
0.87418437,-0.05741164622073057,3716.4805
0.8717833,-0.06025595860743347,3643.5547
0.869334,-0.0632411851376195,3570.7485
0.8668355,-0.06637430704018832,3498.0925
0.8642869,-0.06966265141107417,3425.595
0.86168754,-0.07311390834833888,3353.279
0.85903656,-0.07673614893617887,3281.1624
0.856333,-0.08053784411990347,3209.265
0.85357624,-0.08452788451602562,3137.6025
0.85076535,-0.08871560120379254,3066.2034
0.8478995,-0.09311078754677929,2995.0806
0.84497786,-0.09772372209557711,2924.2532
0.8419996,-0.1025651926251366,2853.7466
0.8389639,-0.10764652136297909,2783.5776
0.83587015,-0.11297959146727514,2713.7725
0.8327173,-0.11857687481671111,2644.3484
0.8295049,-0.12445146117713335,2575.3264
0.82623184,-0.1306170888131787,2506.7317
0.82289755,-0.13708817661647962,2438.584
0.8195013,-0.1438798578255785,2370.9075
0.81604236,-0.15100801541640843,2303.7268
0.81252,-0.1584893192461046,2237.0623
0.8089336,-0.16634126503700983,2170.9468
0.8052826,-0.17458221529204287,2105.3982
0.80156606,-0.18323144223711324,2040.4467
0.79778373,-0.1923091728910075,1976.117
0.7939348,-0.2018366363681473,1912.4418
0.7900189,-0.2118361135248409,1849.4464
0.7860354,-0.22233098906513052,1787.1647
0.7819839,-0.23334580622808995,1725.627
0.777864,-0.24490632418446365,1664.8646
0.7736752,-0.2570395782768749,1604.9125
0.7694172,-0.2697739432444799,1545.8069
0.76508975,-0.2831391995799251,1487.5828
0.7606925,-0.2971666031737892,1430.2812
0.7562253,-0.3118889584093795,1373.9379
0.7516879,-0.3273406948788232,1318.5898
0.7470803,-0.34355794789985883,1264.2808
0.7424025,-0.3605786430216258,1211.0479
0.7376543,-0.37844258471707576,1158.9323
0.73283595,-0.3971915494694218,1107.9723
0.7279475,-0.4168693834703159,1058.2063
0.7229892,-0.4375221051582315,1009.6724
0.7179612,-0.4591980128368469,962.4054
0.7128639,-0.4819477976251045,916.4369
0.70769775,-0.50582466200309,871.7998
0.7024632,-0.5308844442309629,828.51904
0.6971607,-0.5571857489319031,786.6176
0.691791,-0.5847900841444525,746.1149
0.6863547,-0.6137620051647644,707.02716
