theta,psi,K
0.9866245,-1e-05,12237.392
0.98648417,-1.049542428652322e-05,12218.99
0.98634183,-1.1015393095414145e-05,12200.406
0.9861975,-1.156112242192098e-05,12181.63
0.986051,-1.2133888504649761e-05,12162.662
0.9859023,-1.2735030810166604e-05,12143.504
0.9857515,-1.3365955165464406e-05,12124.155
0.98559856,-1.4028137045619561e-05,12104.596
0.9854433,-1.4723125024327164e-05,12084.849
0.9852857,-1.545254439538411e-05,12064.904
0.9851259,-1.6218100973589265e-05,12044.739
0.98496366,-1.7021585083949465e-05,12024.38
0.9847991,-1.786487574852046e-05,12003.802
0.984632,-1.8749945080674136e-05,11983.02
0.9844625,-1.967886289706839e-05,11962.032
0.9842905,-2.0653801558105226e-05,11940.845
0.98411584,-2.1677041048196874e-05,11919.398
0.9839386,-2.2750974307720624e-05,11897.752
0.9837587,-2.3878112829131686e-05,11875.896
0.9835761,-2.5061092530321038e-05,11853.785
0.98339075,-2.6302679918953706e-05,11831.48
0.9832026,-2.7605778562203335e-05,11808.936
0.98301166,-2.8973435877013094e-05,11786.141
0.98281777,-3.0408850256762645e-05,11763.121
0.98262095,-3.191537855100745e-05,11739.865
0.9824211,-3.349654391578259e-05,11716.355
0.98221827,-3.515604405282962e-05,11692.613
0.9820123,-3.689775985701482e-05,11668.652
0.9818032,-3.872576449216149e-05,11644.429
0.98159075,-4.0644332916521024e-05,11619.924
0.9813752,-4.265795188015899e-05,11595.194
0.9811563,-4.4771330417635956e-05,11570.196
0.9809339,-4.6989410860521224e-05,11544.945
0.98070824,-4.9317380395493244e-05,11519.44
0.98047906,-5.176068319505639e-05,11493.652
0.98024625,-5.432503314924292e-05,11467.606
0.9800098,-5.701642722807431e-05,11441.279
0.9797696,-5.9841159506031496e-05,11414.697
0.97952574,-6.280583588133128e-05,11387.819
0.9792781,-6.591738952443159e-05,11360.669
0.97902644,-6.918309709189306e-05,11333.237
0.9787709,-7.261059574351485e-05,11305.516
0.97851133,-7.620790100254052e-05,11277.496
0.97824764,-7.99834255007021e-05,11249.213
0.9779798,-8.394599865193896e-05,11220.627
0.9777077,-8.810488730080056e-05,11191.719
0.9774312,-9.246981739382136e-05,11162.533
0.9771503,-9.705099672454799e-05,11133.031
0.976865,-0.00010185913880541065,11103.216
0.97657514,-0.00010690548792226468,11073.1
0.97628057,-0.00011220184543019515,11042.676
0.97598124,-0.00011776059735207946,11011.926
0.9756772,-0.00012359474334444967,10980.853
0.9753682,-0.00012971792709839413,10949.46
0.97505414,-0.00013614446824659343,10917.73
0.9747351,-0.0001428893958511086,10885.677
0.9744109,-0.00014996848355023558,10853.294
0.9740813,-0.00015739828644662003,10820.574
0.97374636,-0.00016519617982289946,10787.51
0.97340596,-0.0001733803997754116,10754.096
0.97306,-0.00018197008586099601,10720.335
0.9727084,-0.00019098532585662132,10686.222
0.972351,-0.00020044720273651348,10651.75
0.97198784,-0.0002103778439766447,10616.923
0.9716185,-0.00022080047330188697,10581.747
0.97124314,-0.00023173946499684464,10546.193
0.9708616,-0.00024322040090737812,10510.278
0.97047377,-0.00025527013026612106,10473.967
0.9700794,-0.0002679168324818993,10437.303
0.9696784,-0.0002811900830398899,10400.26
0.9692708,-0.0002951209226666342,10362.836
0.96885645,-0.00030974192992165334,10325.005
0.96843505,-0.0003250872973854294,10286.802
0.9680067,-0.0003411929116219232,10248.192
0.967571,-0.00035809643710263037,10209.183
0.96712816,-0.0003758374042884382,10169.799
0.9666778,-0.00039445730207527204,10129.976
0.9662197,-0.00041399967481972367,10089.7705
0.965754,-0.0004345102241715643,10049.141
0.9652803,-0.0004560369159512885,10008.092
0.9647986,-0.0004786300923226302,9966.621
0.9643086,-0.0005023425895223784,9924.745
0.9638104,-0.0005272298614228135,9882.433
0.9633037,-0.0005533501092157269,9839.682
0.9627882,-0.0005807644175213017,9796.526
0.962264,-0.0006095368972401582,9752.928
0.9617307,-0.0006397348354826364,9708.856
0.96118826,-0.0006714288529259399,9664.376
0.9606365,-0.0007046930689671337,9619.421
0.96007526,-0.0007396052750582238,9574.044
0.95950425,-0.0007762471166286769,9528.2
0.95892334,-0.0008147042840208238,9481.898
0.9583325,-0.0008550667128846666,9435.128
0.95773125,-0.0008974287945007307,9387.926
0.9571196,-0.0009418895965228226,9340.221
0.95649725,-0.000988553094656919,9292.074
0.9558642,-0.0010375284158179914,9243.445
0.9552199,-0.001088930093333411,9194.343
0.95456445,-0.001142878334789748,9144.761
0.9538975,-0.0011994993031493536,9094.7
0.9532188,-0.0012589254117941404,9044.162
0.9525281,-0.0013212956341865467,8993.115
0.9518254,-0.0013867558288718585,8941.625
0.95111024,-0.0014554590805819342,8889.606
0.9503825,-0.001527566058238039,8837.105
0.9496418,-0.0016032453906900056,8784.104
0.94888806,-0.0016826740610704294,8730.612
0.94812095,-0.0017660378206861241,8676.618
0.94734025,-0.0018535316234147689,8622.127
0.9465457,-0.0019453600816226177,8567.137
0.945737,-0.0020417379446694816,8511.637
0.94491386,-0.002142890601120008,8455.626
