,z,t,theta_train
0,-1.0,0.0,0.0731202178558044
1,-1.0,0.012,0.13156992853505356
2,-1.0,0.024,0.2092181563772667
3,-1.0,0.036000000000000004,0.22698254223316
4,-1.0,0.048,0.24594745666259152
5,-1.0,0.06,0.26045315997171853
6,-1.0,0.07200000000000001,0.26914681188411493
7,-1.0,0.084,0.27780422998888393
8,-1.0,0.096,0.28442687653229126
9,-1.0,0.10800000000000001,0.28980684491623626
10,-1.0,0.12,0.3017661776102799
11,-1.0,0.132,0.2989055706756495
12,-1.0,0.14400000000000002,0.29351804044509955
13,-1.0,0.156,0.29977284454248054
14,-1.0,0.168,0.3159644306093545
15,-1.0,0.18,0.3063862855131705
16,-1.0,0.192,0.3135834753083237
17,-1.0,0.204,0.31293783287668414
18,-1.0,0.21600000000000003,0.3146362056865839
19,-1.0,0.228,0.31363253614580694
20,-1.0,0.24,0.3126777514174483
21,-1.0,0.252,0.3098397481848016
22,-1.0,0.264,0.28604435478155293
23,-1.0,0.276,0.27149392760775604
24,-1.0,0.28800000000000003,0.26975861093206027
25,-1.0,0.3,0.2586190420430187
26,-1.0,0.312,0.26365164851046907
27,-1.0,0.324,0.2558243538391147
28,-1.0,0.336,0.2394044250521763
29,-1.0,0.34800000000000003,0.2546907271547902
30,-1.0,0.36,0.2507776827500767
31,-1.0,0.37200000000000005,0.234941549885834
32,-1.0,0.384,0.23341327160721861
33,-1.0,0.396,0.22711225771117233
34,-1.0,0.408,0.23769486585539693
35,-1.0,0.42,0.23492557126182734
36,-1.0,0.43200000000000005,0.22380865297667177
37,-1.0,0.444,0.22832474766726835
38,-1.0,0.456,0.22261633414644702
39,-1.0,0.46799999999999997,0.2135336372312605
40,-1.0,0.48,0.22043465536999843
41,-1.0,0.49200000000000005,0.21862939914322763
42,-1.0,0.504,0.21079955921670587
43,-1.0,0.516,0.21606845308420575
44,-1.0,0.528,0.21925618928018295
45,-1.0,0.54,0.2105980624381171
46,-1.0,0.552,0.20755014106163275
47,-1.0,0.5640000000000001,0.20883134860657937
48,-1.0,0.5760000000000001,0.21086128719896893
49,-1.0,0.588,0.21440313461346752
50,-1.0,0.6,0.2013776711590717
51,-1.0,0.612,0.19352244124160525
52,-1.0,0.624,0.20061793498003053
53,-1.0,0.636,0.19340243972139062
54,-1.0,0.648,0.18976991602763826
55,-1.0,0.66,0.19853196616268595
56,-1.0,0.672,0.19767663694852647
57,-1.0,0.684,0.18973203726705176
58,-1.0,0.6960000000000001,0.19107011576348634
59,-1.0,0.708,0.1932342121467545
60,-1.0,0.72,0.18601525905391875
61,-1.0,0.732,0.17691333280650845
62,-1.0,0.7440000000000001,0.18836352568132667
63,-1.0,0.7559999999999999,0.19058939619480172
64,-1.0,0.768,0.19125805419250674
65,-1.0,0.78,0.19024897554789444
66,-1.0,0.792,0.18848105933783432
67,-1.0,0.804,0.1766975602411338
68,-1.0,0.8160000000000001,0.1814709035275335
69,-1.0,0.8280000000000001,0.1870303995467982
70,-1.0,0.84,0.1817156648723392
71,-1.0,0.852,0.18615236788905462
72,-1.0,0.8640000000000001,0.16970385955143683
73,-1.0,0.8759999999999999,0.17423184420586343
74,-1.0,0.888,0.1672241263182539
75,-1.0,0.9,0.16931763206869094
76,-1.0,0.912,0.17619731469389047
77,-1.0,0.924,0.1731415650271382
78,-1.0,0.9359999999999999,0.17359487961679348
79,-1.0,0.948,0.17651465196412008
80,-1.0,0.96,0.16028852517054115
81,-1.0,0.972,0.1658133002402221
82,-1.0,0.9840000000000001,0.17452930534377123
83,-1.0,0.996,0.17314688742890383
84,-1.0,1.008,0.1806166988736947
85,-1.0,1.02,0.21331990102972592
86,-1.0,1.032,0.23082283675630616
87,-1.0,1.044,0.23783560942866186
88,-1.0,1.056,0.2502658726809588
89,-1.0,1.068,0.26312288997174277
90,-1.0,1.08,0.2564379514844899
91,-1.0,1.092,0.27021672889500886
92,-1.0,1.104,0.265141610535431
93,-1.0,1.1159999999999999,0.2697887900796738
94,-1.0,1.128,0.276207130319527
95,-1.0,1.14,0.2659718606366428
96,-1.0,1.152,0.2785779390615027
97,-1.0,1.1640000000000001,0.280654102850744
98,-1.0,1.176,0.28572550190330354
99,-1.0,1.188,0.2902093320799106
100,-1.0,1.2,0.27904558067059393
101,-1.0,1.212,0.2819278040011754
102,-1.0,1.224,0.28553923850270313
103,-1.0,1.236,0.2816791590198598
104,-1.0,1.248,0.27396313424105245
105,-1.0,1.26,0.29768909466845067
106,-1.0,1.272,0.2932496711884907
107,-1.0,1.284,0.284909445664585
108,-1.0,1.296,0.28455580925837487
109,-1.0,1.308,0.2915947532646707
110,-1.0,1.32,0.28656015671703955
111,-1.0,1.3319999999999999,0.28536732833704814
112,-1.0,1.344,0.2823182948663722
113,-1.0,1.3559999999999999,0.28766377295216883
114,-1.0,1.368,0.29667973926511265
115,-1.0,1.38,0.30146549711730125
116,-1.0,1.392,0.2983025041866803
117,-1.0,1.404,0.3023780197144786
118,-1.0,1.416,0.2922082601471426
119,-1.0,1.4280000000000002,0.30045314608667884
120,-1.0,1.44,0.2955921396395496
121,-1.0,1.452,0.29526227652632914
122,-1.0,1.464,0.2905163470965213
123,-1.0,1.476,0.2899675888254088
124,-1.0,1.4880000000000002,0.2909911865398459
125,-1.0,1.5,0.30044137776053303
126,-1.0,1.5119999999999998,0.2816137188490105
127,-1.0,1.524,0.26959212151786466
128,-1.0,1.536,0.26389181847886134
129,-1.0,1.548,0.2623029135819463
130,-1.0,1.56,0.2537888687578213
131,-1.0,1.5719999999999998,0.25499524459832396
132,-1.0,1.584,0.24764066333054727
133,-1.0,1.5959999999999999,0.2464747537276182
134,-1.0,1.608,0.2506608717378007
135,-1.0,1.62,0.23818646174859268
136,-1.0,1.632,0.2324562901304575
137,-1.0,1.644,0.23831625235988224
138,-1.0,1.656,0.23331190806545052
139,-1.0,1.6680000000000001,0.2238673881270379
140,-1.0,1.68,0.22891101741638645
141,-1.0,1.692,0.21352873916594445
142,-1.0,1.704,0.22554899185325364
143,-1.0,1.716,0.21514837669814374
144,-1.0,1.7280000000000002,0.20866914210968973
145,-1.0,1.74,0.2216452322206797
146,-1.0,1.7519999999999998,0.21651840924993399
147,-1.0,1.764,0.2196608553321809
148,-1.0,1.776,0.22052539443275662
149,-1.0,1.788,0.21998094437836732
150,-1.0,1.8,0.21171196812623744
151,-1.0,1.8119999999999998,0.21410093102625374
152,-1.0,1.824,0.21090218824216247
153,-1.0,1.8359999999999999,0.21010236770069537
154,-1.0,1.848,0.20077341740801893
155,-1.0,1.86,0.2081090791855555
156,-1.0,1.8719999999999999,0.209240329469086
157,-1.0,1.884,0.20555976161246958
158,-1.0,1.896,0.20441606443285393
159,-1.0,1.908,0.21052876502774956
160,-1.0,1.92,0.19613621704013978
161,-1.0,1.932,0.1960209777112172
162,-1.0,1.944,0.2079067151919461
163,-1.0,1.956,0.20098269771107458
164,-1.0,1.9680000000000002,0.19294754387621726
165,-1.0,1.98,0.19852302680686257
166,-1.0,1.992,0.18940509749268203
167,-1.0,2.004,0.19674057167496894
168,-1.0,2.016,0.22554778436237227
169,-1.0,2.028,0.23400994512229387
170,-1.0,2.04,0.2527690510835771
171,-1.0,2.052,0.25388421600586014
172,-1.0,2.064,0.2544662006984945
173,-1.0,2.076,0.26000266461072397
174,-1.0,2.088,0.27845959553596084
175,-1.0,2.1,0.2698366700269881
176,-1.0,2.112,0.2789541023882934
177,-1.0,2.124,0.2882506731240565
178,-1.0,2.136,0.27233396548056726
179,-1.0,2.148,0.2813867369803943
180,-1.0,2.16,0.2744315682091359
181,-1.0,2.1719999999999997,0.2850313259966343
182,-1.0,2.184,0.2851840438397609
183,-1.0,2.1959999999999997,0.29012181533581877
184,-1.0,2.208,0.30032446682530484
185,-1.0,2.22,0.298256416776115
186,-1.0,2.2319999999999998,0.2901496060649322
187,-1.0,2.244,0.2909715871327904
188,-1.0,2.256,0.29078264038854323
189,-1.0,2.268,0.2840914752387898
190,-1.0,2.28,0.28406023845750517
191,-1.0,2.2920000000000003,0.280398418323471
192,-1.0,2.3040000000000003,0.2938185150811506
193,-1.0,2.316,0.28107803694782774
194,-1.0,2.3280000000000003,0.2959098561722406
195,-1.0,2.34,0.3007780945575197
196,-1.0,2.352,0.2940188077490245
197,-1.0,2.364,0.2987130330931675
198,-1.0,2.376,0.2923983305082868
199,-1.0,2.388,0.29478161640617573
200,-1.0,2.4,0.28891793729026644
201,-1.0,2.412,0.29478068974341537
202,-1.0,2.424,0.29504343156079804
203,-1.0,2.436,0.30262174596372227
204,-1.0,2.448,0.29755429174068887
205,-1.0,2.46,0.2971902161221884
206,-1.0,2.472,0.2949767263157588
207,-1.0,2.484,0.29986176571764006
208,-1.0,2.496,0.2997692908181098
209,-1.0,2.508,0.2822081007361457
210,-1.0,2.52,0.26535351996142154
211,-1.0,2.532,0.2697184961702918
212,-1.0,2.544,0.26457391204714326
213,-1.0,2.556,0.2554983108276319
214,-1.0,2.568,0.25773083336103303
215,-1.0,2.58,0.24631674215737212
216,-1.0,2.592,0.2528997693134759
217,-1.0,2.6039999999999996,0.24678433098663038
218,-1.0,2.616,0.23375666047864324
219,-1.0,2.628,0.23838518505807432
220,-1.0,2.64,0.2345980748201108
221,-1.0,2.6519999999999997,0.23162226563092517
222,-1.0,2.6639999999999997,0.22864077679873743
223,-1.0,2.676,0.22626559787276918
224,-1.0,2.688,0.22506998862677421
225,-1.0,2.7,0.2290674261139823
226,-1.0,2.7119999999999997,0.22958247315051636
227,-1.0,2.7239999999999998,0.2255285327962083
228,-1.0,2.736,0.22961923574655985
229,-1.0,2.748,0.21893976267686982
230,-1.0,2.76,0.22965607253992396
231,-1.0,2.772,0.212201631070294
232,-1.0,2.7840000000000003,0.2192633175829201
233,-1.0,2.7960000000000003,0.2220707543564329
234,-1.0,2.8080000000000003,0.22622888163456234
235,-1.0,2.82,0.2179263191244973
236,-1.0,2.832,0.22009427597716133
237,-1.0,2.844,0.20834824645951802
238,-1.0,2.8560000000000003,0.20214733702429463
239,-1.0,2.8680000000000003,0.20145393860566507
240,-1.0,2.88,0.21444936427599673
241,-1.0,2.892,0.21021110743571386
242,-1.0,2.904,0.20429028063010385
243,-1.0,2.9160000000000004,0.20041673072227817
244,-1.0,2.928,0.1975107770123329
245,-1.0,2.94,0.21707164712925409
246,-1.0,2.952,0.1959804641298302
247,-1.0,2.964,0.20335161251543835
248,-1.0,2.9760000000000004,0.2037227385877869
249,-1.0,2.988,0.19946597481589123
250,-1.0,3.0,0.19909514880125126
251,-3.0,0.0,0.07317473712848459
252,-3.0,0.012,0.07308844912951674
253,-3.0,0.024,0.07237036297083385
254,-3.0,0.036000000000000004,0.06885239494646
255,-3.0,0.048,0.12954231180639117
256,-3.0,0.06,0.19816534091921778
257,-3.0,0.07200000000000001,0.22415951797852085
258,-3.0,0.084,0.23385874512753316
259,-3.0,0.096,0.25209582345808407
260,-3.0,0.10800000000000001,0.2654811235475731
261,-3.0,0.12,0.26903755578900473
262,-3.0,0.132,0.2772286419160968
263,-3.0,0.14400000000000002,0.29671399766720924
264,-3.0,0.156,0.2951683729768668
265,-3.0,0.168,0.29124255254730913
266,-3.0,0.18,0.2894184875105085
267,-3.0,0.192,0.2965174290666662
268,-3.0,0.204,0.29997241796562907
269,-3.0,0.21600000000000003,0.31073869704928253
270,-3.0,0.228,0.30499948901090224
271,-3.0,0.24,0.31401533515462443
272,-3.0,0.252,0.3137109342008147
273,-3.0,0.264,0.2854828155353383
274,-3.0,0.276,0.28706913150394375
275,-3.0,0.28800000000000003,0.27049245313979253
276,-3.0,0.3,0.2672813491668853
277,-3.0,0.312,0.24881392675485248
278,-3.0,0.324,0.25598150380179735
279,-3.0,0.336,0.2522740708119899
280,-3.0,0.34800000000000003,0.25044756910832544
281,-3.0,0.36,0.23854843152857286
282,-3.0,0.37200000000000005,0.24631001533493088
283,-3.0,0.384,0.24948925142081463
284,-3.0,0.396,0.22978317056727998
285,-3.0,0.408,0.23783026065730417
286,-3.0,0.42,0.24040700624728362
287,-3.0,0.43200000000000005,0.2333465135199339
288,-3.0,0.444,0.21972539024203688
289,-3.0,0.456,0.23435442816465366
290,-3.0,0.46799999999999997,0.23099945324479085
291,-3.0,0.48,0.2259162757243643
292,-3.0,0.49200000000000005,0.22106081756077897
293,-3.0,0.504,0.21981880859830963
294,-3.0,0.516,0.21933330547147212
295,-3.0,0.528,0.20853315221694665
296,-3.0,0.54,0.21722060815176736
297,-3.0,0.552,0.22100999222582823
298,-3.0,0.5640000000000001,0.21976836732320507
299,-3.0,0.5760000000000001,0.2158193058138847
300,-3.0,0.588,0.21539730607854485
