theta,psi,K
0.9050602,-1e-05,461544.84
0.9047027,-1.049542428652322e-05,458984.1
0.90434194,-1.1015393095414145e-05,456414.47
0.9039775,-1.156112242192098e-05,453834.1
0.90360975,-1.2133888504649761e-05,451245.06
0.9032384,-1.2735030810166604e-05,448645.6
0.9028635,-1.3365955165464406e-05,446037.66
0.902485,-1.4028137045619561e-05,443418.72
0.9021029,-1.4723125024327164e-05,440791.16
0.90171707,-1.545254439538411e-05,438154.1
0.9013275,-1.6218100973589265e-05,435507.06
0.90093416,-1.7021585083949465e-05,432852.1
0.90053713,-1.786487574852046e-05,430186.2
0.9001361,-1.8749945080674136e-05,427512.7
0.8997313,-1.967886289706839e-05,424828.66
0.89932257,-2.0653801558105226e-05,422136.5
0.8989098,-2.1677041048196874e-05,419435.4
0.8984932,-2.2750974307720624e-05,416724.56
0.8980724,-2.3878112829131686e-05,414006.0
0.8976476,-2.5061092530321038e-05,411278.1
0.8972187,-2.6302679918953706e-05,408541.66
0.8967855,-2.7605778562203335e-05,405796.3
0.89634824,-2.8973435877013094e-05,403043.3
0.8959067,-3.0408850256762645e-05,400281.88
0.8954608,-3.191537855100745e-05,397512.06
0.8950106,-3.349654391578259e-05,394733.56
0.8945559,-3.515604405282962e-05,391947.94
0.89409685,-3.689775985701482e-05,389154.16
0.8936333,-3.872576449216149e-05,386352.62
0.89316523,-4.0644332916521024e-05,383543.84
0.89269257,-4.265795188015899e-05,380726.06
0.89221525,-4.4771330417635956e-05,377901.97
0.8917333,-4.6989410860521224e-05,375070.2
0.8912467,-4.9317380395493244e-05,372231.22
0.8907552,-5.176068319505639e-05,369385.94
0.8902589,-5.432503314924292e-05,366532.62
0.88975775,-5.701642722807431e-05,363673.7
0.8892517,-5.9841159506031496e-05,360807.4
0.88874066,-6.280583588133128e-05,357934.38
0.8882246,-6.591738952443159e-05,355055.8
0.8877034,-6.918309709189306e-05,352171.16
0.8871771,-7.261059574351485e-05,349279.6
0.8866457,-7.620790100254052e-05,346382.72
0.88610893,-7.99834255007021e-05,343480.72
0.88556695,-8.394599865193896e-05,340573.12
0.8850196,-8.810488730080056e-05,337659.94
0.8844668,-9.246981739382136e-05,334741.62
0.8839086,-9.705099672454799e-05,331818.44
0.8833449,-0.00010185913880541065,328891.03
0.88277555,-0.00010690548792226468,325958.62
0.88220066,-0.00011220184543019515,323021.25
0.88162005,-0.00011776059735207946,320080.78
0.88103366,-0.00012359474334444967,317136.5
0.8804415,-0.00012971792709839413,314187.25
0.8798435,-0.00013614446824659343,311235.47
0.87923944,-0.0001428893958511086,308280.2
0.87862957,-0.00014996848355023558,305322.44
0.8780135,-0.00015739828644662003,302360.78
0.8773914,-0.00016519617982289946,299397.28
0.8767631,-0.0001733803997754116,296432.0
0.87612855,-0.00018197008586099601,293464.2
0.87548774,-0.00019098532585662132,290494.25
0.87484056,-0.00020044720273651348,287522.53
0.87418693,-0.0002103778439766447,284550.03
0.8735268,-0.00022080047330188697,281575.47
0.87286013,-0.00023173946499684464,278601.75
0.87218684,-0.00024322040090737812,275626.28
0.87150687,-0.00025527013026612106,272651.66
0.87082005,-0.0002679168324818993,269675.66
0.8701265,-0.0002811900830398899,266700.9
0.869426,-0.0002951209226666342,263727.03
0.8687185,-0.00030974192992165334,260753.22
0.868004,-0.0003250872973854294,257781.22
0.8672824,-0.0003411929116219232,254810.06
0.86655366,-0.00035809643710263037,251841.9
0.86581767,-0.0003758374042884382,248874.86
0.8650743,-0.00039445730207527204,245911.12
0.8643235,-0.00041399967481972367,242949.77
0.8635653,-0.0004345102241715643,239991.56
