,z,t,theta_train
0,-1.0,0.0,0.17952021785580438
1,-1.0,0.012,0.21656992853505355
2,-1.0,0.024,0.3200181563772667
3,-1.0,0.036000000000000004,0.34858254223316004
4,-1.0,0.048,0.3720474566625915
5,-1.0,0.06,0.38895315997171853
6,-1.0,0.07200000000000001,0.39954681188411495
7,-1.0,0.084,0.40850422998888397
8,-1.0,0.096,0.41542687653229127
9,-1.0,0.10800000000000001,0.42110684491623623
10,-1.0,0.12,0.4332661776102799
11,-1.0,0.132,0.43050557067564954
12,-1.0,0.14400000000000002,0.42521804044509953
13,-1.0,0.156,0.4310728445424805
14,-1.0,0.168,0.4468644306093545
15,-1.0,0.18,0.4369862855131705
16,-1.0,0.192,0.4438834753083237
17,-1.0,0.204,0.44303783287668413
18,-1.0,0.21600000000000003,0.44443620568658393
19,-1.0,0.228,0.44323253614580693
20,-1.0,0.24,0.4419777514174483
21,-1.0,0.252,0.44103974818480157
22,-1.0,0.264,0.4248443547815529
23,-1.0,0.276,0.41399392760775605
24,-1.0,0.28800000000000003,0.4135586109320603
25,-1.0,0.3,0.4035190420430187
26,-1.0,0.312,0.4096516485104691
27,-1.0,0.324,0.40272435383911476
28,-1.0,0.336,0.3872044250521763
29,-1.0,0.34800000000000003,0.4025907271547902
30,-1.0,0.36,0.3987776827500767
31,-1.0,0.37200000000000005,0.382941549885834
32,-1.0,0.384,0.3814132716072186
33,-1.0,0.396,0.37521225771117234
34,-1.0,0.408,0.38589486585539695
35,-1.0,0.42,0.3832255712618274
36,-1.0,0.43200000000000005,0.37230865297667176
37,-1.0,0.444,0.37702474766726835
38,-1.0,0.456,0.37131633414644705
39,-1.0,0.46799999999999997,0.36243363723126054
40,-1.0,0.48,0.3694346553699984
41,-1.0,0.49200000000000005,0.3677293991432276
42,-1.0,0.504,0.35959955921670583
43,-1.0,0.516,0.36476845308420575
44,-1.0,0.528,0.36775618928018294
45,-1.0,0.54,0.3588980624381171
46,-1.0,0.552,0.3557501410616327
47,-1.0,0.5640000000000001,0.3568313486065794
48,-1.0,0.5760000000000001,0.3586612871989689
49,-1.0,0.588,0.3621031346134675
50,-1.0,0.6,0.3488776711590717
51,-1.0,0.612,0.34102244124160525
52,-1.0,0.624,0.3481179349800305
53,-1.0,0.636,0.34090243972139067
54,-1.0,0.648,0.3372699160276383
55,-1.0,0.66,0.34613196616268593
56,-1.0,0.672,0.34527663694852645
57,-1.0,0.684,0.3373320372670518
58,-1.0,0.6960000000000001,0.33847011576348635
59,-1.0,0.708,0.3404342121467545
60,-1.0,0.72,0.3329152590539188
61,-1.0,0.732,0.32361333280650845
62,-1.0,0.7440000000000001,0.3347635256813267
63,-1.0,0.7559999999999999,0.3366893961948017
64,-1.0,0.768,0.33735805419250675
65,-1.0,0.78,0.33624897554789446
66,-1.0,0.792,0.3343810593378343
67,-1.0,0.804,0.3224975602411338
68,-1.0,0.8160000000000001,0.3271709035275335
69,-1.0,0.8280000000000001,0.3326303995467982
70,-1.0,0.84,0.32721566487233916
71,-1.0,0.852,0.3314523678890546
72,-1.0,0.8640000000000001,0.31500385955143684
73,-1.0,0.8759999999999999,0.31933184420586347
74,-1.0,0.888,0.3122241263182539
75,-1.0,0.9,0.31431763206869096
76,-1.0,0.912,0.32109731469389047
77,-1.0,0.924,0.3180415650271382
78,-1.0,0.9359999999999999,0.31849487961679346
79,-1.0,0.948,0.32141465196412006
80,-1.0,0.96,0.30528852517054117
81,-1.0,0.972,0.3104133002402221
82,-1.0,0.9840000000000001,0.31882930534377124
83,-1.0,0.996,0.3173468874289038
84,-1.0,1.008,0.3086166988736947
85,-1.0,1.02,0.3152199010297259
86,-1.0,1.032,0.3167228367563062
87,-1.0,1.044,0.3138356094286619
88,-1.0,1.056,0.3191658726809588
89,-1.0,1.068,0.3255228899717428
90,-1.0,1.08,0.3139379514844899
91,-1.0,1.092,0.32361672889500886
92,-1.0,1.104,0.315141610535431
93,-1.0,1.1159999999999999,0.31688879007967385
94,-1.0,1.128,0.320707130319527
95,-1.0,1.14,0.3081718606366428
96,-1.0,1.152,0.3183779390615027
97,-1.0,1.1640000000000001,0.318354102850744
98,-1.0,1.176,0.32142550190330355
99,-1.0,1.188,0.32440933207991063
100,-1.0,1.2,0.31174558067059394
101,-1.0,1.212,0.3133278040011754
102,-1.0,1.224,0.31573923850270313
103,-1.0,1.236,0.31077915901985975
104,-1.0,1.248,0.30206313424105247
105,-1.0,1.26,0.3248890946684507
106,-1.0,1.272,0.3195496711884907
107,-1.0,1.284,0.310409445664585
108,-1.0,1.296,0.30925580925837487
109,-1.0,1.308,0.3154947532646707
110,-1.0,1.32,0.30976015671703955
111,-1.0,1.3319999999999999,0.3079673283370481
112,-1.0,1.344,0.3042182948663722
113,-1.0,1.3559999999999999,0.30896377295216887
114,-1.0,1.368,0.31747973926511264
115,-1.0,1.38,0.32166549711730125
116,-1.0,1.392,0.3180025041866803
117,-1.0,1.404,0.3215780197144786
118,-1.0,1.416,0.31090826014714257
119,-1.0,1.4280000000000002,0.31865314608667883
120,-1.0,1.44,0.3133921396395496
121,-1.0,1.452,0.3125622765263291
122,-1.0,1.464,0.3074163470965213
123,-1.0,1.476,0.3064675888254088
124,-1.0,1.4880000000000002,0.3070911865398459
125,-1.0,1.5,0.316141377760533
126,-1.0,1.5119999999999998,0.3121137188490105
127,-1.0,1.524,0.3075921215178647
128,-1.0,1.536,0.30669181847886134
129,-1.0,1.548,0.30890291358194627
130,-1.0,1.56,0.30348886875782133
131,-1.0,1.5719999999999998,0.30749524459832395
132,-1.0,1.584,0.30284066333054727
133,-1.0,1.5959999999999999,0.3032747537276182
134,-1.0,1.608,0.30896087173780074
135,-1.0,1.62,0.2977864617485927
136,-1.0,1.632,0.29325629013045745
137,-1.0,1.644,0.3005162523598822
138,-1.0,1.656,0.2967119080654505
139,-1.0,1.6680000000000001,0.2883673881270379
140,-1.0,1.68,0.29451101741638647
141,-1.0,1.692,0.28012873916594444
142,-1.0,1.704,0.29314899185325366
143,-1.0,1.716,0.28374837669814373
144,-1.0,1.7280000000000002,0.27816914210968974
145,-1.0,1.74,0.2921452322206797
146,-1.0,1.7519999999999998,0.287618409249934
147,-1.0,1.764,0.2912608553321809
148,-1.0,1.776,0.29262539443275665
149,-1.0,1.788,0.29258094437836735
150,-1.0,1.8,0.28461196812623746
151,-1.0,1.8119999999999998,0.28740093102625375
152,-1.0,1.824,0.2845021882421625
153,-1.0,1.8359999999999999,0.28410236770069536
154,-1.0,1.848,0.27507341740801894
155,-1.0,1.86,0.2827090791855555
156,-1.0,1.8719999999999999,0.28404032946908603
157,-1.0,1.884,0.2805597616124696
158,-1.0,1.896,0.2796160644328539
159,-1.0,1.908,0.2859287650277496
160,-1.0,1.92,0.2719362170401398
161,-1.0,1.932,0.2721209777112172
162,-1.0,1.944,0.28430671519194606
163,-1.0,1.956,0.27768269771107457
164,-1.0,1.9680000000000002,0.2699475438762172
165,-1.0,1.98,0.27592302680686254
166,-1.0,1.992,0.267205097492682
167,-1.0,2.004,0.27334057167496895
168,-1.0,2.016,0.34784778436237224
169,-1.0,2.028,0.3763099451222939
170,-1.0,2.04,0.40336905108357707
171,-1.0,2.052,0.40938421600586017
172,-1.0,2.064,0.4129662006984945
173,-1.0,2.076,0.42040266461072395
174,-1.0,2.088,0.44015959553596085
175,-1.0,2.1,0.4321366700269881
176,-1.0,2.112,0.4411541023882934
177,-1.0,2.124,0.45025067312405653
178,-1.0,2.136,0.43423396548056725
179,-1.0,2.148,0.4431867369803943
180,-1.0,2.16,0.43593156820913587
181,-1.0,2.1719999999999997,0.4462313259966343
182,-1.0,2.184,0.44618404383976096
183,-1.0,2.1959999999999997,0.4506218153358188
184,-1.0,2.208,0.46052446682530485
185,-1.0,2.22,0.45805641677611497
186,-1.0,2.2319999999999998,0.44954960606493216
187,-1.0,2.244,0.4499715871327904
188,-1.0,2.256,0.44228264038854326
189,-1.0,2.268,0.4277914752387898
190,-1.0,2.28,0.4220602384575052
191,-1.0,2.2920000000000003,0.413598418323471
192,-1.0,2.3040000000000003,0.4231185150811506
193,-1.0,2.316,0.4067780369478277
194,-1.0,2.3280000000000003,0.41850985617224057
195,-1.0,2.34,0.4204780945575197
196,-1.0,2.352,0.4111188077490245
197,-1.0,2.364,0.4133130330931675
198,-1.0,2.376,0.4048983305082868
199,-1.0,2.388,0.4051816164061757
200,-1.0,2.4,0.3974179372902664
201,-1.0,2.412,0.4013806897434154
202,-1.0,2.424,0.39984343156079805
203,-1.0,2.436,0.4058217459637222
204,-1.0,2.448,0.39905429174068885
205,-1.0,2.46,0.3972902161221884
206,-1.0,2.472,0.3937767263157588
207,-1.0,2.484,0.39726176571764005
208,-1.0,2.496,0.39586929081810984
209,-1.0,2.508,0.3883081007361457
210,-1.0,2.52,0.38015351996142155
211,-1.0,2.532,0.38941849617029184
212,-1.0,2.544,0.38807391204714325
213,-1.0,2.556,0.3820983108276319
214,-1.0,2.568,0.38693083336103307
215,-1.0,2.58,0.37791674215737214
216,-1.0,2.592,0.38659976931347595
217,-1.0,2.6039999999999996,0.38198433098663037
218,-1.0,2.616,0.3701566604786432
219,-1.0,2.628,0.3757851850580743
220,-1.0,2.64,0.37309807482011076
221,-1.0,2.6519999999999997,0.3709222656309252
222,-1.0,2.6639999999999997,0.36884077679873745
223,-1.0,2.676,0.36716559787276914
224,-1.0,2.688,0.3667699886267742
225,-1.0,2.7,0.37136742611398227
226,-1.0,2.7119999999999997,0.37248247315051636
227,-1.0,2.7239999999999998,0.3690285327962083
228,-1.0,2.736,0.37381923574655984
229,-1.0,2.748,0.36383976267686985
230,-1.0,2.76,0.3753560725399239
231,-1.0,2.772,0.358401631070294
232,-1.0,2.7840000000000003,0.36566331758292003
233,-1.0,2.7960000000000003,0.3687707543564329
234,-1.0,2.8080000000000003,0.37312888163456237
235,-1.0,2.82,0.3651263191244973
236,-1.0,2.832,0.3675942759771614
237,-1.0,2.844,0.355948246459518
238,-1.0,2.8560000000000003,0.34994733702429465
239,-1.0,2.8680000000000003,0.34945393860566504
240,-1.0,2.88,0.3626493642759967
241,-1.0,2.892,0.35861110743571384
242,-1.0,2.904,0.35279028063010387
243,-1.0,2.9160000000000004,0.3491167307222782
244,-1.0,2.928,0.3463107770123329
245,-1.0,2.94,0.36597164712925406
246,-1.0,2.952,0.3450804641298302
247,-1.0,2.964,0.3525516125154383
248,-1.0,2.9760000000000004,0.35312273858778687
249,-1.0,2.988,0.34906597481589124
250,-1.0,3.0,0.3488951488012512
251,-3.0,0.0,0.17957473712848457
252,-3.0,0.012,0.17948844912951673
253,-3.0,0.024,0.17877036297083382
254,-3.0,0.036000000000000004,0.17525239494645997
255,-3.0,0.048,0.18184231180639118
256,-3.0,0.06,0.28166534091921774
257,-3.0,0.07200000000000001,0.32885951797852087
258,-3.0,0.084,0.3489587451275331
259,-3.0,0.096,0.37259582345808406
260,-3.0,0.10800000000000001,0.38968112354757306
261,-3.0,0.12,0.39593755578900475
262,-3.0,0.132,0.4053286419160968
263,-3.0,0.14400000000000002,0.42571399766720924
264,-3.0,0.156,0.42496837297686685
265,-3.0,0.168,0.42164255254730915
266,-3.0,0.18,0.42021848751050855
267,-3.0,0.192,0.4276174290666662
268,-3.0,0.204,0.43107241796562906
269,-3.0,0.21600000000000003,0.4414386970492825
270,-3.0,0.228,0.43549948901090224
271,-3.0,0.24,0.4443153351546244
272,-3.0,0.252,0.44271093420081464
273,-3.0,0.264,0.41768281553533826
274,-3.0,0.276,0.4219691315039438
275,-3.0,0.28800000000000003,0.40759245313979253
276,-3.0,0.3,0.4054813491668853
