theta,psi,K
0.9642549,-1e-05,3649409.8
0.9639902,-1.049542428652322e-05,3623310.2
0.96372247,-1.1015393095414145e-05,3597174.8
0.9634516,-1.156112242192098e-05,3570995.8
0.9631778,-1.2133888504649761e-05,3544764.2
0.96290076,-1.2735030810166604e-05,3518500.5
0.9626206,-1.3365955165464406e-05,3492191.5
0.96233726,-1.4028137045619561e-05,3465841.2
0.9620508,-1.4723125024327164e-05,3439453.8
0.961761,-1.545254439538411e-05,3413032.8
0.961468,-1.6218100973589265e-05,3386575.8
0.96117145,-1.7021585083949465e-05,3360073.5
0.9608716,-1.786487574852046e-05,3333547.0
0.96056825,-1.8749945080674136e-05,3306990.0
0.96026146,-1.967886289706839e-05,3280394.2
0.9599513,-2.0653801558105226e-05,3253786.2
0.9596373,-2.1677041048196874e-05,3227132.2
0.95931983,-2.2750974307720624e-05,3200461.2
0.9589987,-2.3878112829131686e-05,3173765.8
0.95867383,-2.5061092530321038e-05,3147043.8
0.9583453,-2.6302679918953706e-05,3120294.0
0.9580128,-2.7605778562203335e-05,3093535.5
0.95767653,-2.8973435877013094e-05,3066757.8
0.9573363,-3.0408850256762645e-05,3039962.8
0.9569922,-3.191537855100745e-05,3013148.8
0.9566441,-3.349654391578259e-05,2986317.5
0.9562919,-3.515604405282962e-05,2959488.2
0.9559356,-3.689775985701482e-05,2932637.5
0.95557517,-3.872576449216149e-05,2905783.5
0.95521057,-4.0644332916521024e-05,2878920.0
0.9548416,-4.265795188015899e-05,2852051.8
0.95446837,-4.4771330417635956e-05,2825178.5
0.9540907,-4.6989410860521224e-05,2798318.2
0.95370865,-4.9317380395493244e-05,2771443.8
0.9533222,-5.176068319505639e-05,2744583.8
0.952931,-5.432503314924292e-05,2717717.2
0.9525354,-5.701642722807431e-05,2690862.2
0.952135,-5.9841159506031496e-05,2664021.0
0.9517299,-6.280583588133128e-05,2637188.5
0.95132005,-6.591738952443159e-05,2610367.2
0.9509053,-6.918309709189306e-05,2583560.2
0.9504857,-7.261059574351485e-05,2556775.0
0.9500611,-7.620790100254052e-05,2530009.0
0.9496316,-7.99834255007021e-05,2503263.2
0.9491968,-8.394599865193896e-05,2476537.8
0.94875693,-8.810488730080056e-05,2449847.8
0.9483119,-9.246981739382136e-05,2423174.8
0.9478615,-9.705099672454799e-05,2396538.8
0.94740576,-0.00010185913880541065,2369928.8
0.9469446,-0.00010690548792226468,2343364.0
0.9464779,-0.00011220184543019515,2316829.5
0.9460057,-0.00011776059735207946,2290335.8
0.9455278,-0.00012359474334444967,2263892.0
0.94504416,-0.00012971792709839413,2237487.0
0.9445548,-0.00013614446824659343,2211132.8
0.9440596,-0.0001428893958511086,2184824.2
0.94355845,-0.00014996848355023558,2158571.2
0.9430512,-0.00015739828644662003,2132375.5
0.942538,-0.00016519617982289946,2106230.8
0.9420186,-0.0001733803997754116,2080150.2
0.941493,-0.00018197008586099601,2054132.5
0.940961,-0.00019098532585662132,2028173.1
0.94042265,-0.00020044720273651348,2002297.2
0.93987787,-0.0002103778439766447,1976480.2
0.9393265,-0.00022080047330188697,1950741.0
0.93876845,-0.00023173946499684464,1925076.2
0.93820375,-0.00024322040090737812,1899490.2
0.9376322,-0.00025527013026612106,1873986.9
0.9370538,-0.0002679168324818993,1848566.6
0.93646836,-0.0002811900830398899,1823232.4
0.9358759,-0.0002951209226666342,1797991.4
0.93527627,-0.00030974192992165334,1772841.1
0.9346695,-0.0003250872973854294,1747785.9
0.93405527,-0.0003411929116219232,1722833.5
0.93343365,-0.00035809643710263037,1697973.2
0.93280447,-0.0003758374042884382,1673226.0
0.93216777,-0.00039445730207527204,1648576.9
0.9315233,-0.00041399967481972367,1624046.2
0.9308711,-0.0004345102241715643,1599622.6
0.93021107,-0.0004560369159512885,1575314.0
0.9295429,-0.0004786300923226302,1551124.8
0.92886674,-0.0005023425895223784,1527060.8
0.92818236,-0.0005272298614228135,1503113.5
0.92748976,-0.0005533501092157269,1479300.5
0.92678875,-0.0005807644175213017,1455612.1
0.9260793,-0.0006095368972401582,1432058.5
0.92536116,-0.0006397348354826364,1408634.8
0.9246344,-0.0006714288529259399,1385357.8
0.9238988,-0.0007046930689671337,1362221.0
0.9231543,-0.0007396052750582238,1339226.9
0.92240083,-0.0007762471166286769,1316373.5
0.92163825,-0.0008147042840208238,1293675.6
0.92086643,-0.0008550667128846666,1271131.5
0.9200853,-0.0008974287945007307,1248738.5
0.91929466,-0.0009418895965228226,1226503.6
0.91849446,-0.000988553094656919,1204433.9
0.91768473,-0.0010375284158179914,1182525.5
0.9168651,-0.001088930093333411,1160784.1
0.91603565,-0.001142878334789748,1139212.1
0.9151962,-0.0011994993031493536,1117808.8
0.9143466,-0.0012589254117941404,1096584.6
0.9134868,-0.0013212956341865467,1075531.8
0.9126165,-0.0013867558288718585,1054662.8
0.91173583,-0.0014554590805819342,1033971.75
0.91084456,-0.001527566058238039,1013466.4
0.9099425,-0.0016032453906900056,993150.6
0.9090297,-0.0016826740610704294,973022.25
0.90810585,-0.0017660378206861241,953087.3
0.907171,-0.0018535316234147689,933345.4
0.9062249,-0.0019453600816226177,913799.7
0.9052675,-0.0020417379446694816,894453.3
0.90429854,-0.002142890601120008,875307.2
0.90331805,-0.0022490546058357274,856366.56
0.90232587,-0.00236047823318052,837628.1
0.9013219,-0.0024774220576332254,819099.7
0.90030587,-0.0026001595631652084,800779.5
0.8992777,-0.0027289777828079734,782668.94
0.89823735,-0.0028641779699065096,764773.25
0.8971846,-0.0030060763026281555,747091.56
0.8961195,-0.0031550046233745467,729626.44
0.8950416,-0.0033113112148258263,712380.8
0.89395106,-0.0034753616144319686,695353.8
0.89284766,-0.0036475394692559835,678548.7
0.89173114,-0.0038282474331681263,661967.2
0.8906014,-0.004017908108489294,645610.5
0.8894585,-0.00421696503428571,629476.6
0.8883021,-0.004425883723626147,613572.7
0.8871321,-0.0046451527522273686,597894.94
0.8859484,-0.004875284901033731,582445.56
0.88475096,-0.005116818355402937,567228.25
0.88353956,-0.005370317963702379,552241.5
0.88231385,-0.005636376558259388,537485.6
0.8810741,-0.005915616341754574,522962.97
0.87981987,-0.00620869034230046,508673.03
0.87855107,-0.006516283940608241,494617.44
0.8772677,-0.006839116472814097,480795.22
0.8759695,-0.00717794291271341,467208.16
0.8746563,-0.007533555637336954,453855.72
0.8733281,-0.007906786279998019,440738.6
0.8719846,-0.008298507675143979,427856.1
0.8706258,-0.008709635899560548,415208.78
0.8692515,-0.009141132414702229,402796.62
0.8678615,-0.009594006315159042,390618.4
0.86645585,-0.010069316688517736,378674.7
0.86503416,-0.010568175092136261,366966.0
0.86359656,-0.01109174815262367,355489.47
0.86214274,-0.011641260294104552,344246.78
0.86067253,-0.012217996601648335,333235.66
0.85918605,-0.012823305826559812,322455.84
0.85768276,-0.013458603540559057,311906.38
0.8561629,-0.014125375446227093,301585.53
0.85462606,-0.01482518085145906,291493.84
0.8530724,-0.015559656316050241,281629.72
0.8515015,-0.01633051947894281,271990.16
0.8499135,-0.01713957307508369,262575.62
0.84830797,-0.017988709151287287,253383.98
0.84668493,-0.018879913490962307,244413.14
0.8450444,-0.01981527025805032,235661.9
0.84338593,-0.020796966871036257,227128.47
0.84170973,-0.021827299118429278,218810.94
0.8400154,-0.02290867652767695,210706.75
0.838303,-0.024043628000068512,202814.88
0.8365724,-0.025234807724804877,195132.8
0.83482337,-0.02648500138606609,187657.38
0.83305585,-0.02779713267759192,180387.97
0.83126974,-0.029174270140010644,173321.31
0.829465,-0.03061963433690569,166454.31
0.82764125,-0.032136605386402034,159785.33
0.82579863,-0.03372873086588568,153311.42
0.82393706,-0.0353997341083422,147029.97
0.8220563,-0.03715352290971591,140938.25
0.8201562,-0.03899419866765293,135033.38
0.8182368,-0.04092606597299959,129312.484
0.816298,-0.042953642676487144,123772.46
0.81433964,-0.045081670454144344,118410.24
0.81236166,-0.04731512589614629,113223.54
0.8103639,-0.04965923214503175,108208.48
0.8083464,-0.052119471110506084,103362.414
0.8063089,-0.05470159628939509,98681.6
0.8042515,-0.05741164622073057,94163.19
0.8021741,-0.06025595860743347,89804.19
0.8000765,-0.0632411851376195,85600.69
0.7979587,-0.06637430704018832,81549.74
0.7958206,-0.06966265141107417,77648.15
0.7936622,-0.07311390834833888,73892.266
0.7914834,-0.07673614893617887,70278.9
0.7892842,-0.08053784411990347,66804.56
0.7870645,-0.08452788451602562,63465.902
0.78482425,-0.08871560120379254,60259.547
0.78256345,-0.09311078754677929,57182.184
0.78028196,-0.09772372209557711,54230.203
0.7779799,-0.1025651926251366,51400.418
0.7756571,-0.10764652136297909,48689.312
0.7733136,-0.11297959146727514,46093.63
0.77094924,-0.11857687481671111,43610.035
0.76856434,-0.12445146117713335,41235.082
0.7661586,-0.1306170888131787,38965.6
0.763732,-0.13708817661647962,36798.25
0.7612848,-0.1438798578255785,34729.78
0.7588167,-0.15100801541640843,32756.957
0.75632787,-0.1584893192461046,30876.7
0.75381833,-0.16634126503700983,29085.834
0.75128806,-0.17458221529204287,27381.209
0.74873716,-0.18323144223711324,25759.873
0.7461655,-0.1923091728910075,24218.695
0.74357325,-0.2018366363681473,22754.828
0.7409605,-0.2118361135248409,21365.3
0.7383271,-0.22233098906513052,20047.314
0.73567325,-0.23334580622808995,18798.076
0.732999,-0.24490632418446365,17614.838
0.7303044,-0.2570395782768749,16494.906
0.7275895,-0.2697739432444799,15435.634
0.72485447,-0.2831391995799251,14434.54
0.7220993,-0.2971666031737892,13489.069
0.7193241,-0.3118889584093795,12596.827
0.7165291,-0.3273406948788232,11755.406
0.7137142,-0.34355794789985883,10962.552
0.71087956,-0.3605786430216258,10215.98
0.7080254,-0.37844258471707576,9513.546
0.7051518,-0.3971915494694218,8853.133
0.7022589,-0.4168693834703159,8232.707
0.6993467,-0.4375221051582315,7650.3066
0.6964156,-0.4591980128368469,7104.011
0.6934656,-0.4819477976251045,6592.003
0.69049686,-0.50582466200309,6112.47
0.6875096,-0.5308844442309629,5663.736
0.6845039,-0.5571857489319031,5244.1377
0.68148005,-0.5847900841444525,4852.0977
0.6784382,-0.6137620051647644,4486.1
0.6753785,-0.6441692655151459,4144.6777
0.67230123,-0.6760829753919487,3826.447
0.66920656,-0.7095777679633539,3530.067
0.6660947,-0.7447319739059522,3254.256
0.6629659,-0.781627804588291,2997.7954
0.6598203,-0.8203515443297774,2759.52
0.65665823,-0.8609937521845576,2538.3176
0.65347993,-0.9036494737222561,2333.135
0.6502856,-0.9484184633008493,2142.9663
0.6470756,-0.9954054173514766,1966.8545
0.6438501,-1.044720219220747,1803.8925
0.6406093,-1.0964781961431291,1653.2229
0.63735366,-1.1508003889443768,1514.03
0.63408333,-1.207813835106718,1385.5459
0.63079864,-1.26765186585778,1267.0431
0.6274999,-1.330454417978022,1157.8348
0.62418735,-1.3963683610558648,1057.2743
0.6208614,-1.465547840955835,964.75104
0.6175223,-1.538154640302954,879.69135
0.61417043,-1.6143585568264012,801.55676
0.610806,-1.6943378004472387,729.8425
0.60742944,-1.7782794100388282,664.0727
0.60404104,-1.8663796908345702,603.80347
0.6006412,-1.9588446735058849,548.61914
0.5972302,-2.0558905959840312,498.13025
0.5938084,-2.1577444091525497,451.97458
0.59037626,-2.264644307592937,409.81335
0.58693403,-2.376840286624747,371.33133
0.5834821,-2.494594726942818,336.23428
0.5800209,-2.6181830082188418,304.25015
0.5765507,-2.7478941531022456,275.12515
0.573072,-2.8840315031264465,248.62373
0.5695852,-3.0269134281011376,224.52823
0.5660905,-3.1768740706495935,202.6367
0.5625886,-3.334264127632163,182.7627
0.5590796,-3.4994516702833764,164.7336
0.555564,-3.6728230049806396,148.39017
0.55204225,-3.8547835766575,133.58562
0.5485147,-4.045758916974197,120.18485
0.5449819,-4.246195639462886,108.06347
0.54144406,-4.4565624839747775,97.107025
0.53790176,-4.6773514128717135,87.21058
0.5343553,-4.909078761525748,78.27786
0.5308052,-5.152286445817267,70.2204
0.5272517,-5.407543229455494,62.957405
0.52369547,-5.675446054085141,56.414906
0.52013683,-5.956621435289756,50.525333
0.5165762,-6.251726927756491,45.226906
0.5130139,-6.561452663028668,40.463387
0.5094505,-6.886522963442354,36.183422
0.50588644,-7.227698036021274,32.340305
0.502322,-7.585775750291386,28.891518
0.49875775,-7.961593504172711,25.798508
0.49519408,-8.35603018231198,23.026117
0.4916314,-8.770008211435819,20.542583
0.48807013,-9.204495717531158,18.319048
0.48451072,-9.660508789897548,16.329374
0.4809536,-10.139113857366178,14.549915
0.47739914,-10.64143018224251,12.959306
0.4738478,-11.168632477804927,11.538222
0.47030002,-11.721953655480585,10.269231
0.4667562,-12.302687708123056,9.1366005
0.46321675,-12.912192736134543,8.12616
0.4596821,-13.551894123509518,7.225137
0.45615268,-14.223287871227312,6.4220395
0.45262882,-14.927944095789028,5.7065334
0.44911098,-15.667510701080507,5.0693245
0.44559962,-16.44371723214828,4.502081
0.44209504,-17.258378919900945,3.9973116
0.43859768,-18.113400926194878,3.5483022
0.43510795,-19.01078279923179,3.1490352
0.4316262,-19.952623149687522,2.7941256
0.42815286,-20.941124558507585,2.4787443
0.42468825,-21.978598727846837,2.1985784
0.42123282,-23.067471887199204,1.94977
0.4177869,-24.210290467360217,1.7288698
0.41435087,-25.409727055491402,1.5328021
0.41092506,-26.66858664521306,1.3588165
0.40750992,-27.9898131963418,1.2044641
0.40410566,-29.376496519613383,1.0675579
0.40071273,-30.831879502491518,0.94615173
0.39733148,-32.359365692960694,0.83851105
0.39396214,-33.962527259038595,0.74309057
0.39060518,-35.64511334262206,0.65851665
0.38726085,-37.411058827202844,0.58356744
0.3839295,-39.264493539957364,0.51715535
0.38061136,-41.20975190973026,0.458314
0.37730682,-43.251383103497965,0.4061856
0.3740162,-45.39416166501726,0.36000806
0.3707397,-47.64309868053835,0.31910393
0.36747772,-50.00345349769446,0.2828732
0.36423045,-52.48074602497369,0.25078258
0.3609982,-55.08076964053658,0.2223596
0.35778123,-57.80960474056785,0.19718459
0.35457987,-60.67363295884637,0.17488655
0.35139424,-63.67955209078719,0.15513586
0.34822473,-66.83439175685685,0.13764071
0.3450715,-70.14552984199226,0.122142255
0.3419348,-73.62070974946849,0.108411945
0.33881485,-77.26805850956484,0.09624672
0.3357119,-81.0961057853784,0.08546704
0.33262613,-85.11380382023167,0.07591393
0.32955784,-89.33054837332324,0.067446716
0.32650706,-93.7562006925814,0.059940718
0.32347417,-98.4011105761064,0.053285804
0.3204592,-103.2761405761324,0.04738436
0.31746244,-108.39269140211263,0.042150114
0.314484,-113.76272858233496,0.03750657
0.31152412,-119.39881044641876,0.033386253
0.30858284,-125.31411749413259,0.029729286
0.30566046,-131.52248321921437,0.02648279
0.30275697,-138.03842646027852,0.02359987
0.29987264,-144.87718535446564,0.021039205
0.29700756,-152.0547529732385,0.018764047
0.29416183,-159.5879147236616,0.016741961
0.29133558,-167.4942876026315,0.01494427
0.28852898,-175.79236139585637,0.013345544
0.285742,-184.5015419179338,0.011923249
0.2829749,-193.64219639464642,0.010657519
0.28022766,-203.23570109360713,0.009530693
0.27750045,-213.3044913146418,0.008527158
0.2747932,-223.8721138568173,0.0076330774
0.2721062,-234.9632820848132,0.0068362067
0.26943934,-246.60393372341545,0.006125695
0.26679277,-258.8212915152897,0.0054919124
0.26416656,-271.6439268838878,0.0049263397
0.26156074,-285.1018267503694,0.004421416
0.25897527,-299.22646366079624,0.003970431
0.25641024,-314.0508693875979,0.0035674481
0.25386578,-329.60971217743264,0.0032071914
0.25134182,-345.93937782609555,0.002884982
0.24883834,-363.07805477007355,0.0025966559
0.2463555,-381.0658233937438,0.00233853
0.24389315,-399.9447497610667,0.0021073231
0.24145138,-419.75898399097514,0.0019001273
0.23903024,-440.5548635065192,0.0017143504
0.23662964,-462.3810213992244,0.0015476984
0.23424956,-485.28850016208327,0.0013981162
0.23189,-509.33087105715566,0.0012637874
0.22955114,-534.5643593969298,0.0011430916
0.2272326,-561.0479760324265,0.0010345869
0.22493461,-588.8436553555426,0.0009369864
0.222657,-618.0164001383671,0.0008491475
0.22039986,-648.6344335481871,0.000770046
0.21816304,-680.7693586936874,0.00069877686
0.21594656,-714.4963260754565,0.0006345245
0.2137503,-749.894209332396,0.00057656434
0.21157432,-787.0457896950358,0.0005242519
0.20941842,-826.0379495771125,0.00047700707
0.20728272,-866.9618757581469,0.00043431492
0.20516697,-909.9132726321782,0.00039571305
0.2030712,-954.9925860213588,0.00036078924
0.2009953,-1002.3052380778205,0.0003291735
0.19893926,-1051.9618738231375,0.00030053558
0.19690293,-1104.078619901981,0.00027457872
0.19488624,-1158.7773561550314,0.00025103745
0.19288912,-1216.186000646271,0.00022967393
0.1909115,-1276.4388088112391,0.00021027518
0.18895337,-1339.6766874258221,0.00019264915
0.18701443,-1406.047524129798,0.00017662354
0.1850948,-1475.7065332757754,0.0001620444
0.18319419,-1548.8166189123529,0.00014877308
0.18131265,-1625.5487557503454,0.00013668391
0.17945,-1706.0823890029812,0.00012566539
0.17760623,-1790.6058540351482,0.00011561601
0.17578104,-1879.316816803111,0.000106444866
0.17397451,-1972.422736114684,9.806964e-05
0.17218643,-2070.1413487908676,9.0416754e-05
0.17041665,-2172.7011788635655,8.3419276e-05
0.16866523,-2280.342072000225,7.701716e-05
0.16693193,-2393.3157564051794,7.115598e-05
