 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   5. 3.    Time:  17:49:41
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-03  0.10000E-03    6        6    -4    -5     T
        2  0.2000000E-03  0.10000E-03    7       13    -4    -5     T
        3  0.2700000E-03  0.70000E-04    5       18    -4    -5     T
        4  0.3400000E-03  0.70000E-04    4       22    -4    -5     T
        5  0.4100000E-03  0.70000E-04    3       25    -4    -5     T
        6  0.5010000E-03  0.91000E-04    4       29    -4    -5     T
        7  0.5920000E-03  0.91000E-04    4       33    -4    -5     T
        8  0.6829999E-03  0.91000E-04    3       36    -4    -5     T
        9  0.8012999E-03  0.11830E-03    3       39    -4    -5     T
       10  0.9550899E-03  0.15379E-03    4       43    -4    -5     T
       11  0.1108880E-02  0.15379E-03    4       47    -4    -5     T
       12  0.1262670E-02  0.15379E-03    4       51    -4    -5     T
       13  0.1416460E-02  0.15379E-03    3       54    -4    -5     T
       14  0.1616387E-02  0.19993E-03    5       59    -4    -5     T
       15  0.1816314E-02  0.19993E-03    4       63    -4    -5     T
       16  0.2016241E-02  0.19993E-03    3       66    -4    -5     T
       17  0.2276146E-02  0.25991E-03    5       71    -4    -5     T
       18  0.2536051E-02  0.25991E-03    4       75    -4    -5     T
       19  0.2795956E-02  0.25991E-03    4       79    -4    -5     T
       20  0.3055861E-02  0.25991E-03    5       84    -4    -5     T
       21  0.3315766E-02  0.25991E-03    3       87    -4    -5     T
       22  0.3653642E-02  0.33788E-03    4       91    -4    -5     T
       23  0.3991519E-02  0.33788E-03    4       95    -4    -5     T
       24  0.4329395E-02  0.33788E-03    5      100    -4    -5     T
       25  0.4667272E-02  0.33788E-03    4      104    -4    -5     T
       26  0.5005148E-02  0.33788E-03    4      108    -4    -5     T
       27  0.5343025E-02  0.33788E-03    4      112    -4    -5     T
       28  0.5680901E-02  0.33788E-03    4      116    -4    -5     T
       29  0.6018778E-02  0.33788E-03    3      119    -4    -5     T
       30  0.6458017E-02  0.43924E-03    4      123    -4    -5     T
       31  0.6897256E-02  0.43924E-03    4      127    -4    -5     T
       32  0.7336496E-02  0.43924E-03    4      131    -4    -5     T
       33  0.7775735E-02  0.43924E-03    4      135    -4    -5     T
       34  0.8198162E-02  0.42243E-03    4      139    -4    -5     T
       35  0.8620588E-02  0.42243E-03    4      143    -4    -5     T
       36  0.9043015E-02  0.42243E-03    4      147    -4    -5     T
       37  0.9465441E-02  0.42243E-03    4      151    -4    -5     T
       38  0.9887868E-02  0.42243E-03    4      155    -4    -5     T
       39  0.1031029E-01  0.42243E-03    4      159    -4    -5     T
       40  0.1073272E-01  0.42243E-03    3      162    -4    -5     T
       41  0.1136636E-01  0.63364E-03    4      166    -4    -5     T
       42  0.1200000E-01  0.63364E-03    4      170    -4    -5     T
       43  0.1257101E-01  0.57101E-03    4      174    -4    -5     T
       44  0.1314202E-01  0.57101E-03    4      178    -4    -5     T
       45  0.1371303E-01  0.57101E-03    4      182    -4    -5     T
       46  0.1428404E-01  0.57101E-03    4      186    -4    -5     T
       47  0.1485506E-01  0.57101E-03    4      190    -4    -5     T
       48  0.1542607E-01  0.57101E-03    4      194    -4    -5     T
       49  0.1599708E-01  0.57101E-03    4      198    -4    -5     T
       50  0.1656809E-01  0.57101E-03    4      202    -4    -5     T
       51  0.1713910E-01  0.57101E-03    4      206    -4    -5     T
       52  0.1771011E-01  0.57101E-03    4      210    -4    -5     T
       53  0.1828112E-01  0.57101E-03    4      214    -4    -5     T
       54  0.1885301E-01  0.57189E-03    4      218    -4    -5     T
       55  0.1942490E-01  0.57189E-03    4      222    -4    -5     T
       56  0.1999679E-01  0.57189E-03    4      226    -4    -5     T
       57  0.2056867E-01  0.57189E-03    4      230    -4    -5     T
       58  0.2114056E-01  0.57189E-03    4      234    -4    -5     T
       59  0.2171245E-01  0.57189E-03    4      238    -4    -5     T
       60  0.2228434E-01  0.57189E-03    4      242    -4    -5     T
       61  0.2285622E-01  0.57189E-03    4      246    -4    -5     T
       62  0.2342811E-01  0.57189E-03    4      250    -4    -5     T
       63  0.2400000E-01  0.57189E-03    4      254    -4    -5     T
       64  0.2457101E-01  0.57101E-03    3      257    -4    -5     T
       65  0.2531333E-01  0.74231E-03    5      262    -4    -5     T
       66  0.2605564E-01  0.74231E-03    5      267    -4    -5     T
       67  0.2679795E-01  0.74231E-03    4      271    -4    -5     T
       68  0.2754027E-01  0.74231E-03    4      275    -4    -5     T
       69  0.2828258E-01  0.74231E-03    4      279    -4    -5     T
       70  0.2905433E-01  0.77174E-03    4      283    -4    -5     T
       71  0.2982607E-01  0.77174E-03    5      288    -4    -5     T
       72  0.3059781E-01  0.77174E-03    4      292    -4    -5     T
       73  0.3136955E-01  0.77174E-03    4      296    -4    -5     T
       74  0.3214129E-01  0.77174E-03    5      301    -4    -5     T
       75  0.3291303E-01  0.77174E-03    4      305    -4    -5     T
       76  0.3368478E-01  0.77174E-03    4      309    -4    -5     T
       77  0.3445652E-01  0.77174E-03    4      313    -4    -5     T
       78  0.3522826E-01  0.77174E-03    5      318    -4    -5     T
       79  0.3600000E-01  0.77174E-03    5      323    -4    -5     T
       80  0.3674231E-01  0.74231E-03    4      327    -4    -5     T
       81  0.3748463E-01  0.74231E-03    4      331    -4    -5     T
       82  0.3822694E-01  0.74231E-03    4      335    -4    -5     T
       83  0.3896926E-01  0.74231E-03    4      339    -4    -5     T
       84  0.3971157E-01  0.74231E-03    4      343    -4    -5     T
       85  0.4045389E-01  0.74231E-03    4      347    -4    -5     T
       86  0.4120850E-01  0.75461E-03    4      351    -4    -5     T
       87  0.4196311E-01  0.75461E-03    4      355    -4    -5     T
       88  0.4271772E-01  0.75461E-03    4      359    -4    -5     T
       89  0.4347233E-01  0.75461E-03    4      363    -4    -5     T
       90  0.4422694E-01  0.75461E-03    4      367    -4    -5     T
       91  0.4498155E-01  0.75461E-03    4      371    -4    -5     T
       92  0.4573617E-01  0.75461E-03    4      375    -4    -5     T
       93  0.4649078E-01  0.75461E-03    4      379    -4    -5     T
       94  0.4724539E-01  0.75461E-03    4      383    -4    -5     T
       95  0.4800000E-01  0.75461E-03    4      387    -4    -5     T
       96  0.4874231E-01  0.74231E-03    4      391    -4    -5     T
       97  0.4948463E-01  0.74231E-03    4      395    -4    -5     T
       98  0.5022694E-01  0.74231E-03    4      399    -4    -5     T
       99  0.5096926E-01  0.74231E-03    4      403    -4    -5     T
      100  0.5171157E-01  0.74231E-03    4      407    -4    -5     T
      101  0.5245389E-01  0.74231E-03    4      411    -4    -5     T
      102  0.5320850E-01  0.75461E-03    4      415    -4    -5     T
      103  0.5396311E-01  0.75461E-03    4      419    -4    -5     T
      104  0.5471772E-01  0.75461E-03    4      423    -4    -5     T
      105  0.5547233E-01  0.75461E-03    4      427    -4    -5     T
      106  0.5622694E-01  0.75461E-03    4      431    -4    -5     T
      107  0.5698155E-01  0.75461E-03    4      435    -4    -5     T
      108  0.5773617E-01  0.75461E-03    4      439    -4    -5     T
      109  0.5849078E-01  0.75461E-03    4      443    -4    -5     T
      110  0.5924539E-01  0.75461E-03    4      447    -4    -5     T
      111  0.6000000E-01  0.75461E-03    4      451    -4    -5     T
      112  0.6074231E-01  0.74231E-03    4      455    -4    -5     T
      113  0.6148463E-01  0.74231E-03    4      459    -4    -5     T
      114  0.6222694E-01  0.74231E-03    4      463    -4    -5     T
      115  0.6296926E-01  0.74231E-03    4      467    -4    -5     T
      116  0.6371157E-01  0.74231E-03    4      471    -4    -5     T
      117  0.6445389E-01  0.74231E-03    4      475    -4    -5     T
      118  0.6520850E-01  0.75461E-03    4      479    -4    -5     T
      119  0.6596311E-01  0.75461E-03    4      483    -4    -5     T
      120  0.6671772E-01  0.75461E-03    4      487    -4    -5     T
      121  0.6747233E-01  0.75461E-03    4      491    -4    -5     T
      122  0.6822694E-01  0.75461E-03    4      495    -4    -5     T
      123  0.6898155E-01  0.75461E-03    4      499    -4    -5     T
      124  0.6973617E-01  0.75461E-03    4      503    -4    -5     T
      125  0.7049078E-01  0.75461E-03    4      507    -4    -5     T
      126  0.7124539E-01  0.75461E-03    4      511    -4    -5     T
      127  0.7200000E-01  0.75461E-03    3      514    -4    -5     T
      128  0.7296501E-01  0.96501E-03    4      518    -4    -5     T
      129  0.7393002E-01  0.96501E-03    4      522    -4    -5     T
      130  0.7493702E-01  0.10070E-02    4      526    -4    -5     T
