 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   1. 9.    Time:  12:30:57
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    2      0.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    3      0.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    4      0.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    5      0.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    6      0.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    7      0.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    8      0.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
    9      0.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   10      0.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   11      1.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   12      1.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   13      1.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   14      1.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   15      1.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   16      1.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   17      1.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   18      1.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   19      1.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   20      1.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   21      2.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   22      2.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   23      2.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   24      2.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   25      2.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   26      2.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   27      2.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   28      2.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   29      2.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   30      2.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   31      3.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   32      3.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   33      3.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   34      3.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   35      3.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   36      3.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   37      3.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   38      3.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   39      3.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   40      3.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   41      4.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   42      4.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   43      4.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   44      4.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   45      4.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   46      4.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   47      4.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   48      4.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   49      4.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   50      4.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   51      5.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   52      5.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   53      5.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   54      5.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   55      5.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   56      5.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   57      5.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   58      5.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   59      5.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   60      5.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   61      6.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   62      6.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   63      6.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   64      6.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   65      6.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   66      6.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   67      6.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   68      6.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   69      6.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   70      6.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   71      7.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   72      7.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   73      7.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   74      7.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   75      7.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   76      7.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   77      7.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   78      7.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   79      7.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   80      7.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   81      8.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   82      8.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   83      8.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   84      8.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   85      8.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   86      8.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   87      8.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   88      8.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   89      8.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   90      8.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   91      9.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   92      9.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   93      9.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   94      9.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   95      9.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   96      9.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   97      9.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   98      9.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
   99      9.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  100      9.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  101     10.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  102     10.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  103     10.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  104     10.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  105     10.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  106     10.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  107     10.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  108     10.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  109     10.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  110     10.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  111     11.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  112     11.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  113     11.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  114     11.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  115     11.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  116     11.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  117     11.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  118     11.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  119     11.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  120     11.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  121     12.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  122     12.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  123     12.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
