 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   1. 9.    Time:  12:30:57
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1111111E-04  0.11111E-04    4       24    -4    -5     T
        2  0.2222222E-04  0.11111E-04    3       27    -4    -5     T
        3  0.3666667E-04  0.14444E-04    3       30    -4    -5     T
        4  0.5544444E-04  0.18778E-04    3       33    -4    -5     T
        5  0.7985555E-04  0.24411E-04    3       36    -4    -5     T
        6  0.1115900E-03  0.31734E-04    3       39    -4    -5     T
        7  0.1528448E-03  0.41255E-04    4       43    -4    -5     T
        8  0.1940995E-03  0.41255E-04    4       47    -4    -5     T
        9  0.2353543E-03  0.41255E-04    4       51    -4    -5     T
       10  0.2766091E-03  0.41255E-04    3       54    -4    -5     T
       11  0.3302403E-03  0.53631E-04    3       57    -4    -5     T
       12  0.3999609E-03  0.69721E-04    4       61    -4    -5     T
       13  0.4696814E-03  0.69721E-04    3       64    -4    -5     T
       14  0.5603181E-03  0.90637E-04    3       67    -4    -5     T
       15  0.6781459E-03  0.11783E-03    8       75    -4    -5     T
       16  0.7606253E-03  0.82479E-04    4       79    -4    -5     T
       17  0.8431047E-03  0.82479E-04    2       81    -4    -5     T
       18  0.9503280E-03  0.10722E-03    3       84    -4    -5     T
       19  0.1089718E-02  0.13939E-03    4       88    -4    -5     T
       20  0.1229108E-02  0.13939E-03    5       93    -4    -5     T
       21  0.1368499E-02  0.13939E-03    4       97    -4    -5     T
       22  0.1507889E-02  0.13939E-03    4      101    -4    -5     T
       23  0.1647279E-02  0.13939E-03    4      105    -4    -5     T
       24  0.1786669E-02  0.13939E-03    3      108    -4    -5     T
       25  0.1967876E-02  0.18121E-03    4      112    -4    -5     T
       26  0.2149084E-02  0.18121E-03    6      118    -4    -5     T
       27  0.2330291E-02  0.18121E-03    5      123    -4    -5     T
       28  0.2511498E-02  0.18121E-03    4      127    -4    -5     T
       29  0.2692705E-02  0.18121E-03    4      131    -4    -5     T
       30  0.2873913E-02  0.18121E-03    3      134    -4    -5     T
       31  0.3109482E-02  0.23557E-03    4      138    -4    -5     T
       32  0.3345052E-02  0.23557E-03    5      143    -4    -5     T
       33  0.3580621E-02  0.23557E-03    3      146    -4    -5     T
       34  0.3886861E-02  0.30624E-03    5      151    -4    -5     T
       35  0.4193102E-02  0.30624E-03    5      156    -4    -5     T
       36  0.4499342E-02  0.30624E-03    5      161    -4    -5     T
       37  0.4805582E-02  0.30624E-03    4      165    -4    -5     T
       38  0.5111822E-02  0.30624E-03    4      169    -4    -5     T
       39  0.5418063E-02  0.30624E-03    5      174    -4    -5     T
       40  0.5724303E-02  0.30624E-03    4      178    -4    -5     T
       41  0.6030543E-02  0.30624E-03    3      181    -4    -5     T
       42  0.6428655E-02  0.39811E-03    4      185    -4    -5     T
       43  0.6826768E-02  0.39811E-03    5      190    -4    -5     T
       44  0.7224880E-02  0.39811E-03    5      195    -4    -5     T
       45  0.7622992E-02  0.39811E-03    5      200    -4    -5     T
       46  0.8021105E-02  0.39811E-03    5      205    -4    -5     T
       47  0.8418994E-02  0.39789E-03    4      209    -4    -5     T
       48  0.8816884E-02  0.39789E-03    5      214    -4    -5     T
       49  0.9214773E-02  0.39789E-03    5      219    -4    -5     T
       50  0.9612663E-02  0.39789E-03    5      224    -4    -5     T
       51  0.1001055E-01  0.39789E-03    4      228    -4    -5     T
       52  0.1040844E-01  0.39789E-03    4      232    -4    -5     T
       53  0.1080633E-01  0.39789E-03    4      236    -4    -5     T
       54  0.1120422E-01  0.39789E-03    4      240    -4    -5     T
       55  0.1160211E-01  0.39789E-03    5      245    -4    -5     T
       56  0.1200000E-01  0.39789E-03    4      249    -4    -5     T
       57  0.1239811E-01  0.39811E-03    4      253    -4    -5     T
       58  0.1279622E-01  0.39811E-03    4      257    -4    -5     T
       59  0.1319434E-01  0.39811E-03    4      261    -4    -5     T
       60  0.1359245E-01  0.39811E-03    4      265    -4    -5     T
       61  0.1399056E-01  0.39811E-03    4      269    -4    -5     T
       62  0.1438867E-01  0.39811E-03    5      274    -4    -5     T
       63  0.1478679E-01  0.39811E-03    4      278    -4    -5     T
       64  0.1518490E-01  0.39811E-03    4      282    -4    -5     T
       65  0.1558301E-01  0.39811E-03    4      286    -4    -5     T
