 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   5. 3.    Time:  17:50:10
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-03  0.10000E-03    4        4    -4    -5     T
        2  0.2000000E-03  0.10000E-03    4        8    -4    -5     T
        3  0.3000000E-03  0.10000E-03    4       12    -4    -5     T
        4  0.4000000E-03  0.10000E-03    4       16    -4    -5     T
        5  0.5000000E-03  0.10000E-03    4       20    -4    -5     T
        6  0.6000000E-03  0.10000E-03    3       23    -4    -5     T
        7  0.7300000E-03  0.13000E-03    3       26    -4    -5     T
        8  0.8989999E-03  0.16900E-03    3       29    -4    -5     T
        9  0.1118700E-02  0.21970E-03    4       33    -4    -5     T
       10  0.1338400E-02  0.21970E-03    4       37    -4    -5     T
       11  0.1558100E-02  0.21970E-03    4       41    -4    -5     T
       12  0.1777800E-02  0.21970E-03    4       45    -4    -5     T
       13  0.1997500E-02  0.21970E-03    3       48    -4    -5     T
       14  0.2283110E-02  0.28561E-03    5       53    -4    -5     T
       15  0.2568720E-02  0.28561E-03    3       56    -4    -5     T
       16  0.2940013E-02  0.37129E-03    4       60    -4    -5     T
       17  0.3311305E-02  0.37129E-03    5       65    -4    -5     T
       18  0.3682598E-02  0.37129E-03    4       69    -4    -5     T
       19  0.4053891E-02  0.37129E-03    4       73    -4    -5     T
       20  0.4425184E-02  0.37129E-03    3       76    -4    -5     T
       21  0.4907865E-02  0.48268E-03    5       81    -4    -5     T
       22  0.5390546E-02  0.48268E-03    4       85    -4    -5     T
       23  0.5873226E-02  0.48268E-03    4       89    -4    -5     T
       24  0.6355907E-02  0.48268E-03    5       94    -4    -5     T
       25  0.6838588E-02  0.48268E-03    3       97    -4    -5     T
       26  0.7483764E-02  0.64518E-03    4      101    -4    -5     T
       27  0.8128941E-02  0.64518E-03    5      106    -4    -5     T
       28  0.8774117E-02  0.64518E-03    4      110    -4    -5     T
       29  0.9419294E-02  0.64518E-03    4      114    -4    -5     T
       30  0.1006447E-01  0.64518E-03    4      118    -4    -5     T
       31  0.1070965E-01  0.64518E-03    4      122    -4    -5     T
       32  0.1135482E-01  0.64518E-03    4      126    -4    -5     T
       33  0.1200000E-01  0.64518E-03    4      130    -4    -5     T
       34  0.1262748E-01  0.62748E-03    3      133    -4    -5     T
       35  0.1344322E-01  0.81573E-03    4      137    -4    -5     T
       36  0.1425895E-01  0.81573E-03    4      141    -4    -5     T
       37  0.1507468E-01  0.81573E-03    4      145    -4    -5     T
       38  0.1589041E-01  0.81573E-03    4      149    -4    -5     T
       39  0.1670137E-01  0.81096E-03    4      153    -4    -5     T
       40  0.1751233E-01  0.81096E-03    3      156    -4    -5     T
       41  0.1859360E-01  0.10813E-02    5      161    -4    -5     T
       42  0.1967488E-01  0.10813E-02    5      166    -4    -5     T
       43  0.2075616E-01  0.10813E-02    5      171    -4    -5     T
       44  0.2183744E-01  0.10813E-02    5      176    -4    -5     T
       45  0.2291872E-01  0.10813E-02    4      180    -4    -5     T
       46  0.2400000E-01  0.10813E-02    5      185    -4    -5     T
       47  0.2506045E-01  0.10604E-02    4      189    -4    -5     T
       48  0.2615440E-01  0.10940E-02    4      193    -4    -5     T
       49  0.2724836E-01  0.10940E-02    4      197    -4    -5     T
       50  0.2834231E-01  0.10940E-02    4      201    -4    -5     T
       51  0.2943627E-01  0.10940E-02    4      205    -4    -5     T
       52  0.3053022E-01  0.10940E-02    4      209    -4    -5     T
       53  0.3162418E-01  0.10940E-02    4      213    -4    -5     T
       54  0.3271813E-01  0.10940E-02    4      217    -4    -5     T
       55  0.3381209E-01  0.10940E-02    4      221    -4    -5     T
       56  0.3490604E-01  0.10940E-02    4      225    -4    -5     T
       57  0.3600000E-01  0.10940E-02    4      229    -4    -5     T
       58  0.3706045E-01  0.10604E-02    4      233    -4    -5     T
       59  0.3815440E-01  0.10940E-02    4      237    -4    -5     T
       60  0.3924836E-01  0.10940E-02    4      241    -4    -5     T
       61  0.4034231E-01  0.10940E-02    4      245    -4    -5     T
       62  0.4143627E-01  0.10940E-02    4      249    -4    -5     T
       63  0.4253022E-01  0.10940E-02    4      253    -4    -5     T
       64  0.4362418E-01  0.10940E-02    4      257    -4    -5     T
       65  0.4471813E-01  0.10940E-02    3      260    -4    -5     T
       66  0.4635907E-01  0.16409E-02    6      266    -4    -5     T
       67  0.4800000E-01  0.16409E-02    5      271    -4    -5     T
       68  0.4933333E-01  0.13333E-02    4      275    -4    -5     T
       69  0.5066667E-01  0.13333E-02    4      279    -4    -5     T
       70  0.5200000E-01  0.13333E-02    4      283    -4    -5     T
       71  0.5333333E-01  0.13333E-02    4      287    -4    -5     T
       72  0.5466667E-01  0.13333E-02    4      291    -4    -5     T
       73  0.5600000E-01  0.13333E-02    4      295    -4    -5     T
       74  0.5733333E-01  0.13333E-02    4      299    -4    -5     T
       75  0.5866667E-01  0.13333E-02    4      303    -4    -5     T
       76  0.6000000E-01  0.13333E-02    4      307    -4    -5     T
       77  0.6133333E-01  0.13333E-02    4      311    -4    -5     T
       78  0.6266667E-01  0.13333E-02    4      315    -4    -5     T
       79  0.6400000E-01  0.13333E-02    4      319    -4    -5     T
       80  0.6533333E-01  0.13333E-02    4      323    -4    -5     T
       81  0.6666667E-01  0.13333E-02    4      327    -4    -5     T
       82  0.6800000E-01  0.13333E-02    4      331    -4    -5     T
       83  0.6933333E-01  0.13333E-02    4      335    -4    -5     T
       84  0.7066667E-01  0.13333E-02    4      339    -4    -5     T
