run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_2_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,2,10,1,20,1,20,0.000102525,5.06E-05,6.80E-05,75342.44538,62035.4883,75338.88346,42941.92667,11.23729297,16713.31719,43255.7548,11.61843213,16873.40335
sandy_loam_depth_1_noise_0_lay_psi_4_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,4,10,1,20,1,20,3.55E-05,3.54E-05,2.84E-05,1014449970,1958105.978,210377.4049,2.187374682,0.809959152,0.462079954,2.108732805,0.700806221,0.391323165
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,6,10,1,20,1,20,2.47E-05,1.67E-05,3.37E-05,11492.70746,32417139.35,71089.20495,0.427113811,0.227904357,1.6204701,0.371994833,0.307164862,1.430403577
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,8,10,1,20,1,20,1.26E-05,2.05E-05,9.58E-06,2551.305521,29484.99493,73028362.23,0.187614401,0.227672056,0.073218566,0.213021521,0.239079122,0.171412695
sandy_loam_depth_1_noise_0_lay_psi_9_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,9,10,1,20,1,20,1.27E-05,9.27E-06,8.99E-06,13695.50388,15824.51544,1288.427529,0.165136124,0.061006268,0.061399918,0.175402975,0.157502244,0.15380324
sandy_loam_depth_1_noise_0_lay_psi_10_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,10,10,1,20,1,20,8.49E-06,9.57E-06,7.77E-06,5458.405062,4308.71576,4749.4416,0.066793491,0.054925123,0.074176138,0.164800234,0.150872721,0.166922326
sandy_loam_depth_1_noise_0_lay_psi_11_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,11,10,1,20,1,20,9.62E-06,9.39E-06,5.54E-06,103073.0614,80860.7446,10664.21814,0.102513435,0.110026023,0.04767687,0.167844499,0.198785736,0.117518299
sandy_loam_depth_1_noise_0_lay_psi_2_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,2,20,1,20,1,20,6.07E-05,3.90E-05,3.61E-05,59753.95256,75077.67896,60515.9746,1.888650454,966.2705754,48.78432558,1.399428495,1003.892651,53.59620326
sandy_loam_depth_1_noise_0_lay_psi_4_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,4,20,1,20,1,20,7.58E-06,5.91E-06,7.70E-06,208912033.8,143028216.6,14841140357,0.076465816,0.037116071,0.059359964,0.131297908,0.113564743,0.181142073
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,6,20,1,20,1,20,2.79E-06,2.57E-06,3.54E-06,2294440.388,11129.83748,4852.092713,0.022268348,0.019028859,0.02563582,0.060806428,0.049040551,0.093911873
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,8,20,1,20,1,20,2.84E-06,5.24E-06,8.88E-06,7060.090426,15273.61426,37142.77677,0.02158895,0.035428755,0.116475672,0.061067018,0.112670079,0.101164241
sandy_loam_depth_1_noise_0_lay_psi_9_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,9,20,1,20,1,20,7.46E-06,2.50E-06,2.26E-06,48640.93303,4369.613519,4060.503473,0.034562638,0.021038835,0.014500487,0.132396115,0.057839814,0.045320393
sandy_loam_depth_1_noise_0_lay_psi_10_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,10,20,1,20,1,20,1.96E-06,2.69E-06,4.40E-06,1403.313817,20295.81891,119596.4114,0.028944517,0.018065406,0.084638302,0.04237765,0.053495353,0.111855869
sandy_loam_depth_1_noise_0_lay_psi_11_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,11,20,1,20,1,20,1.10E-05,5.36E-06,2.39E-06,12535.50603,9136.231072,49954.00397,0.177861998,0.045849579,0.015440096,0.168704747,0.123319149,0.047463366
sandy_loam_depth_1_noise_0_lay_psi_2_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,2,40,1,20,1,20,2.14E-05,3.58E-05,1.54E-05,2875554.163,56934.13562,5623647.716,2.653965526,23.42092819,0.51291025,3.184125647,26.06999284,0.576334015
sandy_loam_depth_1_noise_0_lay_psi_4_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,4,40,1,20,1,20,1.81E-06,2.11E-06,2.19E-06,123652574.1,325983297.5,13624503.05,0.017680619,0.015837687,0.01631872,0.046883427,0.046148447,0.049618255
