run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_1_neu_K_10,1,0,8,40,1,10,1,10,2.31076E-06,7.91981E-06,4.05906E-06,28991.56628,7007.690373,11051.71762,0.010560925,0.124794192,0.060687371,0.049714925,0.096276958,0.088424021
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_1_neu_K_20,1,0,8,40,1,10,1,20,1.61818E-06,2.46285E-06,3.32503E-06,21650.97409,2121.232848,3211.7598,0.007961413,0.017212791,0.025947155,0.040360764,0.056299614,0.072102785
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_1_neu_K_40,1,0,8,40,1,10,1,40,2.20348E-06,1.86212E-06,2.42036E-06,10702.25155,32287.7272,29489.99819,0.010337687,0.006992411,0.014920538,0.033669311,0.032711355,0.059146426
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_2_neu_K_10,1,0,8,40,1,10,2,10,1.04594E-05,1.80972E-06,1.99506E-06,35843.86479,29433.05034,43760.60509,0.237775697,0.00621904,0.006863087,0.187016355,0.026381434,0.036278854
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_2_neu_K_20,1,0,8,40,1,10,2,20,1.96634E-06,1.0733E-05,3.20902E-06,40805.99288,19408.45212,34271.85996,0.010867703,0.185717172,0.017660866,0.048804072,0.148959477,0.059730644
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_2_neu_K_40,1,0,8,40,1,10,2,40,1.96057E-06,2.37731E-06,1.60996E-06,25951.4846,7452.735973,29696.67375,0.010319026,0.016250901,0.009230875,0.039557053,0.044307117,0.03912587
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_3_neu_K_10,1,0,8,40,1,10,3,10,2.28194E-06,1.43423E-06,3.07917E-06,35683.4806,37804.47628,35119.8349,0.009816994,0.008594486,0.018316041,0.039860168,0.029377447,0.061444756
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_3_neu_K_20,1,0,8,40,1,10,3,20,1.18308E-05,1.83703E-06,1.7588E-06,25417.20645,28660.85394,28759.88751,0.289927337,0.007512011,0.010357116,0.223166691,0.032879789,0.030532194
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_10_lay_K_3_neu_K_40,1,0,8,40,1,10,3,40,2.48185E-06,2.15502E-06,1.77816E-06,13552.9931,24819.55698,36519.93011,0.014373203,0.015183713,0.01046811,0.056620195,0.043636165,0.038751464
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_10,1,0,8,40,1,20,1,10,1.48753E-06,1.79308E-06,4.23055E-06,81184.90973,82427.18447,4615.951411,0.009334309,0.013081139,0.025270464,0.035745295,0.041594475,0.086970854
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,8,40,1,20,1,20,2.0753E-06,3.45428E-06,1.93913E-06,83198.86138,118025.6824,3198.038925,0.016996262,0.033713744,0.015444509,0.033402327,0.050552644,0.044150534
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_40,1,0,8,40,1,20,1,40,9.51243E-06,2.20029E-06,1.49168E-06,2517.726938,36103.52075,5465.929416,0.134679498,0.036021469,0.008414164,0.103472703,0.055811058,0.030630233
