,z,t,theta_train
0,-1.0,0.0,0.0724
1,-1.0,0.012,0.1232
2,-1.0,0.024,0.206
3,-1.0,0.036,0.2344
4,-1.0,0.048,0.2514
5,-1.0,0.06,0.2633
6,-1.0,0.072,0.2718
7,-1.0,0.084,0.2794
8,-1.0,0.096,0.2854
9,-1.0,0.108,0.2902
10,-1.0,0.12,0.2942
11,-1.0,0.132,0.2976
12,-1.0,0.144,0.3005
13,-1.0,0.156,0.3034
14,-1.0,0.168,0.3059
15,-1.0,0.18,0.3081
16,-1.0,0.192,0.31
17,-1.0,0.204,0.3116
18,-1.0,0.216,0.3131
19,-1.0,0.228,0.3143
20,-1.0,0.24,0.3155
21,-1.0,0.252,0.3093
22,-1.0,0.264,0.2872
23,-1.0,0.276,0.2751
24,-1.0,0.288,0.2673
25,-1.0,0.3,0.261
26,-1.0,0.312,0.2555
27,-1.0,0.324,0.2507
28,-1.0,0.336,0.2464
29,-1.0,0.348,0.2432
30,-1.0,0.36,0.2403
31,-1.0,0.372,0.2377
32,-1.0,0.384,0.2353
33,-1.0,0.396,0.233
34,-1.0,0.408,0.2308
35,-1.0,0.42,0.2287
36,-1.0,0.432,0.2267
37,-1.0,0.444,0.2248
38,-1.0,0.456,0.2231
39,-1.0,0.468,0.2214
40,-1.0,0.48,0.2198
41,-1.0,0.492,0.2182
42,-1.0,0.504,0.2167
43,-1.0,0.516,0.2143
44,-1.0,0.528,0.2123
45,-1.0,0.54,0.2105
46,-1.0,0.552,0.2087
47,-1.0,0.5640000000000001,0.2071
48,-1.0,0.5760000000000001,0.2056
49,-1.0,0.588,0.2041
50,-1.0,0.6,0.2027
51,-1.0,0.612,0.2013
52,-1.0,0.624,0.1999
53,-1.0,0.636,0.1985
54,-1.0,0.648,0.1971
55,-1.0,0.66,0.1957
56,-1.0,0.672,0.1943
57,-1.0,0.684,0.1931
58,-1.0,0.6960000000000001,0.192
59,-1.0,0.708,0.191
60,-1.0,0.72,0.1901
61,-1.0,0.732,0.1891
62,-1.0,0.744,0.1881
63,-1.0,0.756,0.1872
64,-1.0,0.768,0.1862
65,-1.0,0.78,0.1853
66,-1.0,0.792,0.1844
67,-1.0,0.804,0.1835
68,-1.0,0.8160000000000001,0.1826
69,-1.0,0.8280000000000001,0.1817
70,-1.0,0.84,0.1808
71,-1.0,0.852,0.18
72,-1.0,0.864,0.1791
73,-1.0,0.876,0.1783
74,-1.0,0.888,0.1774
75,-1.0,0.9,0.1765
76,-1.0,0.912,0.1756
77,-1.0,0.924,0.1747
78,-1.0,0.936,0.1738
79,-1.0,0.948,0.1728
80,-1.0,0.96,0.1718
81,-1.0,0.972,0.1712
82,-1.0,0.984,0.1705
83,-1.0,0.996,0.1698
84,-1.0,1.008,0.1698
85,-1.0,1.02,0.1705
86,-1.0,1.032,0.1711
87,-1.0,1.044,0.1716
88,-1.0,1.056,0.1719
89,-1.0,1.068,0.1722
90,-1.0,1.08,0.1725
91,-1.0,1.092,0.1727
92,-1.0,1.104,0.1728
93,-1.0,1.116,0.1729
94,-1.0,1.128,0.173
95,-1.0,1.14,0.173
96,-1.0,1.152,0.173
97,-1.0,1.164,0.173
98,-1.0,1.176,0.173
99,-1.0,1.188,0.173
100,-1.0,1.2,0.1729
101,-1.0,1.212,0.1728
102,-1.0,1.224,0.1728
103,-1.0,1.236,0.1727
104,-1.0,1.248,0.1726
105,-1.0,1.26,0.1725
106,-1.0,1.272,0.1724
107,-1.0,1.284,0.1722
108,-1.0,1.296,0.1721
109,-1.0,1.308,0.172
110,-1.0,1.32,0.1719
111,-1.0,1.332,0.1718
112,-1.0,1.344,0.1717
113,-1.0,1.356,0.1716
114,-1.0,1.368,0.1715
115,-1.0,1.38,0.1714
116,-1.0,1.392,0.1713
117,-1.0,1.404,0.1712
118,-1.0,1.416,0.1711
119,-1.0,1.428,0.171
120,-1.0,1.44,0.1709
121,-1.0,1.452,0.1707
122,-1.0,1.464,0.1706
123,-1.0,1.476,0.1705
124,-1.0,1.488,0.1704
125,-1.0,1.5,0.1703
126,-1.0,1.512,0.1689
127,-1.0,1.524,0.1675
128,-1.0,1.536,0.1661
129,-1.0,1.548,0.1648
130,-1.0,1.56,0.1637
131,-1.0,1.572,0.1626
132,-1.0,1.584,0.1615
133,-1.0,1.596,0.1605
134,-1.0,1.608,0.1595
135,-1.0,1.62,0.1585
136,-1.0,1.632,0.1575
137,-1.0,1.644,0.1565
138,-1.0,1.656,0.1555
139,-1.0,1.668,0.1544
140,-1.0,1.68,0.1534
141,-1.0,1.692,0.1525
142,-1.0,1.704,0.1518
143,-1.0,1.716,0.1511
144,-1.0,1.728,0.1504
145,-1.0,1.74,0.1497
146,-1.0,1.752,0.149
147,-1.0,1.764,0.1483
148,-1.0,1.776,0.1476
149,-1.0,1.788,0.1469
150,-1.0,1.8,0.1462
151,-1.0,1.812,0.1455
152,-1.0,1.824,0.1448
153,-1.0,1.836,0.1441
154,-1.0,1.848,0.1434
155,-1.0,1.86,0.1427
156,-1.0,1.872,0.1419
157,-1.0,1.884,0.1412
158,-1.0,1.896,0.1404
159,-1.0,1.908,0.1397
160,-1.0,1.92,0.1389
161,-1.0,1.932,0.138
162,-1.0,1.944,0.1372
163,-1.0,1.956,0.1366
164,-1.0,1.968,0.136
165,-1.0,1.98,0.1354
166,-1.0,1.992,0.1349
167,-1.0,2.004,0.1359
168,-1.0,2.016,0.2127
169,-1.0,2.028,0.2451
170,-1.0,2.04,0.2642
171,-1.0,2.052,0.276
172,-1.0,2.064,0.2852
173,-1.0,2.076,0.2919
174,-1.0,2.088,0.2971
175,-1.0,2.1,0.3015
176,-1.0,2.112,0.3054
177,-1.0,2.124,0.3084
178,-1.0,2.136,0.3108
179,-1.0,2.148,0.3129
180,-1.0,2.16,0.3147
181,-1.0,2.172,0.3162
182,-1.0,2.184,0.3176
183,-1.0,2.196,0.3188
184,-1.0,2.208,0.3198
185,-1.0,2.22,0.3207
186,-1.0,2.232,0.3216
187,-1.0,2.244,0.3223
188,-1.0,2.256,0.3083
189,-1.0,2.268,0.2938
190,-1.0,2.28,0.2839
191,-1.0,2.2920000000000003,0.2762
192,-1.0,2.3040000000000003,0.2704
193,-1.0,2.316,0.2656
194,-1.0,2.328,0.2615
195,-1.0,2.34,0.2578
196,-1.0,2.352,0.2544
197,-1.0,2.364,0.2513
198,-1.0,2.376,0.2485
199,-1.0,2.388,0.2457
200,-1.0,2.4,0.2437
201,-1.0,2.412,0.2417
202,-1.0,2.424,0.2399
203,-1.0,2.436,0.2381
204,-1.0,2.448,0.2364
205,-1.0,2.46,0.2348
206,-1.0,2.472,0.2333
207,-1.0,2.484,0.2318
208,-1.0,2.496,0.2304
209,-1.0,2.508,0.2282
210,-1.0,2.52,0.2258
211,-1.0,2.532,0.2237
212,-1.0,2.544,0.2217
213,-1.0,2.556,0.2197
214,-1.0,2.568,0.218
215,-1.0,2.58,0.2167
216,-1.0,2.592,0.2154
217,-1.0,2.604,0.2141
218,-1.0,2.616,0.2129
219,-1.0,2.628,0.2117
220,-1.0,2.64,0.2105
221,-1.0,2.652,0.2094
222,-1.0,2.664,0.2083
223,-1.0,2.676,0.2072
224,-1.0,2.688,0.2061
225,-1.0,2.7,0.2051
226,-1.0,2.712,0.2041
227,-1.0,2.724,0.203
228,-1.0,2.736,0.202
229,-1.0,2.748,0.2011
230,-1.0,2.76,0.2001
231,-1.0,2.772,0.1991
232,-1.0,2.7840000000000003,0.1981
233,-1.0,2.7960000000000003,0.1971
234,-1.0,2.8080000000000003,0.1961
235,-1.0,2.82,0.1951
236,-1.0,2.832,0.1941
237,-1.0,2.844,0.1932
238,-1.0,2.856,0.1925
239,-1.0,2.868,0.1918
240,-1.0,2.88,0.1911
241,-1.0,2.892,0.1904
242,-1.0,2.904,0.1897
243,-1.0,2.916,0.189
244,-1.0,2.928,0.1883
245,-1.0,2.94,0.1876
246,-1.0,2.952,0.1869
247,-1.0,2.964,0.1862
248,-1.0,2.976,0.1856
249,-1.0,2.988,0.1849
250,-1.0,3.0,0.1842
251,-3.0,0.0,0.0724
252,-3.0,0.012,0.0724
253,-3.0,0.024,0.0724
254,-3.0,0.036,0.0724
255,-3.0,0.048,0.1407
256,-3.0,0.06,0.1955
257,-3.0,0.072,0.2229
